See,Szenario,Jahr,Temperatur
Biel,RCP26,1981,11.72
Biel,RCP26,1982,12.1
Biel,RCP26,1983,12.07
Biel,RCP26,1984,11.32
Biel,RCP26,1985,11.91
Biel,RCP26,1986,12.3
Biel,RCP26,1987,11.27
Biel,RCP26,1988,12.12
Biel,RCP26,1989,12.22
Biel,RCP26,1990,12.11
Biel,RCP26,1991,11.54
Biel,RCP26,1992,12.58
Biel,RCP26,1993,12.25
Biel,RCP26,1994,11.55
Biel,RCP26,1995,12.36
Biel,RCP26,1996,11.87
Biel,RCP26,1997,12.35
Biel,RCP26,1998,12.33
Biel,RCP26,1999,12.16
Biel,RCP26,2000,12.56
Biel,RCP26,2001,12.35
Biel,RCP26,2002,12.13
Biel,RCP26,2003,12.53
Biel,RCP26,2004,12.48
Biel,RCP26,2005,12.51
Biel,RCP26,2006,12.72
Biel,RCP26,2007,12.08
Biel,RCP26,2008,12.09
Biel,RCP26,2009,12.63
Biel,RCP26,2010,13.17
Biel,RCP26,2011,11.95
Biel,RCP26,2012,12.24
Biel,RCP26,2013,12.85
Biel,RCP26,2014,12.95
Biel,RCP26,2015,12.14
Biel,RCP26,2016,12.24
Biel,RCP26,2017,13.11
Biel,RCP26,2018,12.7
Biel,RCP26,2019,12.62
Biel,RCP26,2020,13.08
Biel,RCP26,2021,12.56
Biel,RCP26,2022,12.83
Biel,RCP26,2023,13.72
Biel,RCP26,2024,13.45
Biel,RCP26,2025,13.11
Biel,RCP26,2026,13.1
Biel,RCP26,2027,12.8
Biel,RCP26,2028,13.38
Biel,RCP26,2029,12.54
Biel,RCP26,2030,12.62
Biel,RCP26,2031,13.08
Biel,RCP26,2032,12.9
Biel,RCP26,2033,13.6
Biel,RCP26,2034,13.05
Biel,RCP26,2035,13.25
Biel,RCP26,2036,12.77
Biel,RCP26,2037,14.1
Biel,RCP26,2038,13.14
Biel,RCP26,2039,13.05
Biel,RCP26,2040,13.53
Biel,RCP26,2041,13.63
Biel,RCP26,2042,12.69
Biel,RCP26,2043,12.94
Biel,RCP26,2044,13.38
Biel,RCP26,2045,13.35
Biel,RCP26,2046,13.28
Biel,RCP26,2047,13.77
Biel,RCP26,2048,13.55
Biel,RCP26,2049,13.37
Biel,RCP26,2050,13.19
Biel,RCP26,2051,13.51
Biel,RCP26,2052,13.5
Biel,RCP26,2053,13.31
Biel,RCP26,2054,13.31
Biel,RCP26,2055,13.2
Biel,RCP26,2056,14.15
Biel,RCP26,2057,13.86
Biel,RCP26,2058,13.01
Biel,RCP26,2059,12.76
Biel,RCP26,2060,12.51
Biel,RCP26,2061,13.54
Biel,RCP26,2062,13.31
Biel,RCP26,2063,12.81
Biel,RCP26,2064,13.42
Biel,RCP26,2065,13.57
Biel,RCP26,2066,13.25
Biel,RCP26,2067,13.41
Biel,RCP26,2068,13.53
Biel,RCP26,2069,12.97
Biel,RCP26,2070,12.91
Biel,RCP26,2071,13.25
Biel,RCP26,2072,12.87
Biel,RCP26,2073,14.21
Biel,RCP26,2074,13.73
Biel,RCP26,2075,12.82
Biel,RCP26,2076,13.12
Biel,RCP26,2077,13.31
Biel,RCP26,2078,13.34
Biel,RCP26,2079,13.56
Biel,RCP26,2080,13.04
Biel,RCP26,2081,13.76
