See,Szenario,Jahr,Temperatur
Brienz,RCP26,1981,9.45
Brienz,RCP26,1982,10.38
Brienz,RCP26,1983,10.79
Brienz,RCP26,1984,10.72
Brienz,RCP26,1985,11.0
Brienz,RCP26,1986,11.57
Brienz,RCP26,1987,10.89
Brienz,RCP26,1988,11.05
Brienz,RCP26,1989,11.4
Brienz,RCP26,1990,11.43
Brienz,RCP26,1991,11.28
Brienz,RCP26,1992,11.81
Brienz,RCP26,1993,11.74
Brienz,RCP26,1994,10.73
Brienz,RCP26,1995,11.73
Brienz,RCP26,1996,11.31
Brienz,RCP26,1997,11.95
Brienz,RCP26,1998,11.14
Brienz,RCP26,1999,11.36
Brienz,RCP26,2000,12.12
Brienz,RCP26,2001,11.52
Brienz,RCP26,2002,11.62
Brienz,RCP26,2003,11.88
Brienz,RCP26,2004,11.73
Brienz,RCP26,2005,11.72
Brienz,RCP26,2006,11.78
Brienz,RCP26,2007,11.3
Brienz,RCP26,2008,11.84
Brienz,RCP26,2009,11.91
Brienz,RCP26,2010,12.33
Brienz,RCP26,2011,11.82
Brienz,RCP26,2012,11.81
Brienz,RCP26,2013,11.89
Brienz,RCP26,2014,12.32
Brienz,RCP26,2015,11.63
Brienz,RCP26,2016,11.38
Brienz,RCP26,2017,11.9
Brienz,RCP26,2018,11.74
Brienz,RCP26,2019,11.67
Brienz,RCP26,2020,12.52
Brienz,RCP26,2021,11.79
Brienz,RCP26,2022,12.0
Brienz,RCP26,2023,12.37
Brienz,RCP26,2024,12.41
Brienz,RCP26,2025,12.48
Brienz,RCP26,2026,12.52
Brienz,RCP26,2027,12.26
Brienz,RCP26,2028,12.48
Brienz,RCP26,2029,11.77
Brienz,RCP26,2030,11.76
Brienz,RCP26,2031,12.02
Brienz,RCP26,2032,12.13
Brienz,RCP26,2033,12.73
Brienz,RCP26,2034,12.46
Brienz,RCP26,2035,12.56
Brienz,RCP26,2036,12.27
Brienz,RCP26,2037,13.0
Brienz,RCP26,2038,12.55
Brienz,RCP26,2039,12.4
Brienz,RCP26,2040,12.98
Brienz,RCP26,2041,12.82
Brienz,RCP26,2042,11.92
Brienz,RCP26,2043,12.1
Brienz,RCP26,2044,12.43
Brienz,RCP26,2045,12.33
Brienz,RCP26,2046,12.41
Brienz,RCP26,2047,12.78
Brienz,RCP26,2048,12.77
Brienz,RCP26,2049,12.99
Brienz,RCP26,2050,12.67
Brienz,RCP26,2051,12.75
Brienz,RCP26,2052,12.77
Brienz,RCP26,2053,12.63
Brienz,RCP26,2054,12.42
Brienz,RCP26,2055,12.46
Brienz,RCP26,2056,12.78
Brienz,RCP26,2057,13.43
Brienz,RCP26,2058,12.29
Brienz,RCP26,2059,11.9
Brienz,RCP26,2060,12.0
Brienz,RCP26,2061,12.85
Brienz,RCP26,2062,12.27
Brienz,RCP26,2063,12.33
Brienz,RCP26,2064,12.46
Brienz,RCP26,2065,12.96
Brienz,RCP26,2066,12.31
Brienz,RCP26,2067,12.54
Brienz,RCP26,2068,12.71
Brienz,RCP26,2069,12.16
Brienz,RCP26,2070,12.47
Brienz,RCP26,2071,12.51
Brienz,RCP26,2072,12.51
Brienz,RCP26,2073,13.11
Brienz,RCP26,2074,12.99
Brienz,RCP26,2075,12.09
Brienz,RCP26,2076,12.13
Brienz,RCP26,2077,12.78
Brienz,RCP26,2078,12.65
Brienz,RCP26,2079,12.96
Brienz,RCP26,2080,12.29
Brienz,RCP26,2081,12.95
Brienz,RCP26,2082,13.13
Brienz,RCP26,2083,13.02
Brienz,RCP26,2084,12.81
Brienz,RCP26,2085,12.64
Brienz,RCP26,2086,12.31
Brienz,RCP26,2087,12.5
Brienz,RCP26,2088,12.71
