See,Szenario,Jahr,Temperatur
Geneva,RCP26,1981,12.59
Geneva,RCP26,1982,13.16
Geneva,RCP26,1983,13.37
Geneva,RCP26,1984,13.02
Geneva,RCP26,1985,13.17
Geneva,RCP26,1986,13.85
Geneva,RCP26,1987,13.28
Geneva,RCP26,1988,13.59
Geneva,RCP26,1989,13.73
Geneva,RCP26,1990,13.67
Geneva,RCP26,1991,13.38
Geneva,RCP26,1992,14.08
Geneva,RCP26,1993,13.73
Geneva,RCP26,1994,13.06
Geneva,RCP26,1995,13.89
Geneva,RCP26,1996,13.69
Geneva,RCP26,1997,14.13
Geneva,RCP26,1998,13.9
Geneva,RCP26,1999,13.65
Geneva,RCP26,2000,14.47
Geneva,RCP26,2001,13.95
Geneva,RCP26,2002,13.8
Geneva,RCP26,2003,14.19
Geneva,RCP26,2004,14.21
Geneva,RCP26,2005,14.11
Geneva,RCP26,2006,14.34
Geneva,RCP26,2007,13.55
Geneva,RCP26,2008,13.85
Geneva,RCP26,2009,14.27
Geneva,RCP26,2010,14.77
Geneva,RCP26,2011,14.24
Geneva,RCP26,2012,13.81
Geneva,RCP26,2013,14.38
Geneva,RCP26,2014,14.73
Geneva,RCP26,2015,14.14
Geneva,RCP26,2016,13.86
Geneva,RCP26,2017,14.42
Geneva,RCP26,2018,14.41
Geneva,RCP26,2019,14.29
Geneva,RCP26,2020,14.85
Geneva,RCP26,2021,14.29
Geneva,RCP26,2022,14.24
Geneva,RCP26,2023,14.85
Geneva,RCP26,2024,14.75
Geneva,RCP26,2025,14.98
Geneva,RCP26,2026,14.76
Geneva,RCP26,2027,14.56
Geneva,RCP26,2028,14.84
Geneva,RCP26,2029,14.24
Geneva,RCP26,2030,14.22
Geneva,RCP26,2031,14.47
Geneva,RCP26,2032,14.71
Geneva,RCP26,2033,15.15
Geneva,RCP26,2034,14.79
Geneva,RCP26,2035,14.92
Geneva,RCP26,2036,14.55
Geneva,RCP26,2037,15.38
Geneva,RCP26,2038,14.86
Geneva,RCP26,2039,14.83
Geneva,RCP26,2040,15.35
Geneva,RCP26,2041,15.41
Geneva,RCP26,2042,14.48
Geneva,RCP26,2043,14.62
Geneva,RCP26,2044,14.82
Geneva,RCP26,2045,14.95
Geneva,RCP26,2046,14.66
Geneva,RCP26,2047,15.43
Geneva,RCP26,2048,15.23
Geneva,RCP26,2049,15.39
Geneva,RCP26,2050,15.18
Geneva,RCP26,2051,14.79
Geneva,RCP26,2052,14.89
Geneva,RCP26,2053,15.01
Geneva,RCP26,2054,15.01
Geneva,RCP26,2055,14.84
Geneva,RCP26,2056,15.22
Geneva,RCP26,2057,15.65
Geneva,RCP26,2058,14.77
Geneva,RCP26,2059,14.4
Geneva,RCP26,2060,14.43
Geneva,RCP26,2061,15.06
Geneva,RCP26,2062,14.85
Geneva,RCP26,2063,14.71
Geneva,RCP26,2064,14.78
Geneva,RCP26,2065,15.1
Geneva,RCP26,2066,14.72
Geneva,RCP26,2067,14.79
Geneva,RCP26,2068,15.21
