See,Szenario,Jahr,Temperatur
Greifen,RCP26,1981,12.21
Greifen,RCP26,1982,12.7
Greifen,RCP26,1983,12.36
Greifen,RCP26,1984,11.5
Greifen,RCP26,1985,12.43
Greifen,RCP26,1986,12.8
Greifen,RCP26,1987,11.94
Greifen,RCP26,1988,12.41
Greifen,RCP26,1989,12.59
Greifen,RCP26,1990,12.65
Greifen,RCP26,1991,11.77
Greifen,RCP26,1992,12.85
Greifen,RCP26,1993,12.94
Greifen,RCP26,1994,11.89
Greifen,RCP26,1995,12.9
Greifen,RCP26,1996,12.54
Greifen,RCP26,1997,13.06
Greifen,RCP26,1998,12.12
Greifen,RCP26,1999,12.62
Greifen,RCP26,2000,13.03
Greifen,RCP26,2001,12.44
Greifen,RCP26,2002,12.5
Greifen,RCP26,2003,13.0
Greifen,RCP26,2004,13.18
Greifen,RCP26,2005,13.16
Greifen,RCP26,2006,13.12
Greifen,RCP26,2007,12.36
Greifen,RCP26,2008,12.68
Greifen,RCP26,2009,13.11
Greifen,RCP26,2010,13.31
Greifen,RCP26,2011,12.52
Greifen,RCP26,2012,12.75
Greifen,RCP26,2013,13.21
Greifen,RCP26,2014,13.61
Greifen,RCP26,2015,12.84
Greifen,RCP26,2016,12.42
Greifen,RCP26,2017,13.13
Greifen,RCP26,2018,13.11
Greifen,RCP26,2019,12.97
Greifen,RCP26,2020,13.58
Greifen,RCP26,2021,12.9
Greifen,RCP26,2022,13.14
Greifen,RCP26,2023,14.01
Greifen,RCP26,2024,13.95
Greifen,RCP26,2025,13.51
Greifen,RCP26,2026,13.52
Greifen,RCP26,2027,13.12
Greifen,RCP26,2028,13.63
Greifen,RCP26,2029,12.87
Greifen,RCP26,2030,12.94
Greifen,RCP26,2031,13.21
Greifen,RCP26,2032,13.31
Greifen,RCP26,2033,14.06
Greifen,RCP26,2034,13.77
Greifen,RCP26,2035,13.77
Greifen,RCP26,2036,13.21
Greifen,RCP26,2037,14.56
Greifen,RCP26,2038,13.55
Greifen,RCP26,2039,13.69
Greifen,RCP26,2040,14.33
Greifen,RCP26,2041,13.83
Greifen,RCP26,2042,12.9
Greifen,RCP26,2043,13.01
Greifen,RCP26,2044,13.7
Greifen,RCP26,2045,13.87
Greifen,RCP26,2046,13.47
Greifen,RCP26,2047,14.3
Greifen,RCP26,2048,13.87
Greifen,RCP26,2049,13.81
Greifen,RCP26,2050,13.77
Greifen,RCP26,2051,13.6
Greifen,RCP26,2052,13.75
Greifen,RCP26,2053,13.73
Greifen,RCP26,2054,13.74
Greifen,RCP26,2055,13.89
Greifen,RCP26,2056,14.32
Greifen,RCP26,2057,14.11
Greifen,RCP26,2058,13.46
Greifen,RCP26,2059,13.32
Greifen,RCP26,2060,13.0
Greifen,RCP26,2061,13.75
Greifen,RCP26,2062,13.77
Greifen,RCP26,2063,13.55
Greifen,RCP26,2064,13.54
Greifen,RCP26,2065,13.83
Greifen,RCP26,2066,13.35
Greifen,RCP26,2067,13.65
Greifen,RCP26,2068,14.12
Greifen,RCP26,2069,13.66
Greifen,RCP26,2070,13.6
Greifen,RCP26,2071,13.66
Greifen,RCP26,2072,13.39
Greifen,RCP26,2073,14.66
Greifen,RCP26,2074,14.0
Greifen,RCP26,2075,13.19
Greifen,RCP26,2076,13.46
Greifen,RCP26,2077,14.06
Greifen,RCP26,2078,13.91
Greifen,RCP26,2079,14.15
Greifen,RCP26,2080,13.5
Greifen,RCP26,2081,14.13
Greifen,RCP26,2082,15.09
Greifen,RCP26,2083,13.67
Greifen,RCP26,2084,13.9
Greifen,RCP26,2085,14.04
Greifen,RCP26,2086,13.31
Greifen,RCP26,2087,13.72
Greifen,RCP26,2088,14.04
Greifen,RCP26,2089,13.03
Greifen,RCP26,2090,13.89
Greifen,RCP26,2091,13.94
Greifen,RCP26,2092,13.6
Greifen,RCP26,2093,13.25
Greifen,RCP26,2094,13.43
Greifen,RCP26,2095,13.36
Greifen,RCP26,2096,13.62
Greifen,RCP26,2097,13.31
Greifen,RCP26,2098,13.34
Greifen,RCP26,2099,13.9
Greifen,RCP45,1981,12.27
Greifen,RCP45,1982,12.28
Greifen,RCP45,1983,12.43
Greifen,RCP45,1984,11.57
Greifen,RCP45,1985,12.49
Greifen,RCP45,1986,12.87
Greifen,RCP45,1987,11.74
Greifen,RCP45,1988,12.35
Greifen,RCP45,1989,12.61
Greifen,RCP45,1990,12.74
Greifen,RCP45,1991,11.98
Greifen,RCP45,1992,12.92
Greifen,RCP45,1993,12.98
Greifen,RCP45,1994,11.64
Greifen,RCP45,1995,12.54
