See,Szenario,Jahr,Temperatur
Joux,RCP26,1981,8.59
Joux,RCP26,1982,8.24
Joux,RCP26,1983,8.32
Joux,RCP26,1984,7.3
Joux,RCP26,1985,7.99
Joux,RCP26,1986,8.47
Joux,RCP26,1987,7.88
Joux,RCP26,1988,7.81
Joux,RCP26,1989,8.39
Joux,RCP26,1990,8.56
Joux,RCP26,1991,8.02
Joux,RCP26,1992,8.46
Joux,RCP26,1993,8.85
Joux,RCP26,1994,7.86
Joux,RCP26,1995,8.62
Joux,RCP26,1996,8.3
Joux,RCP26,1997,8.66
Joux,RCP26,1998,8.74
Joux,RCP26,1999,8.41
Joux,RCP26,2000,9.23
Joux,RCP26,2001,8.07
Joux,RCP26,2002,8.51
Joux,RCP26,2003,8.53
Joux,RCP26,2004,8.63
Joux,RCP26,2005,8.38
Joux,RCP26,2006,8.81
Joux,RCP26,2007,8.14
Joux,RCP26,2008,8.26
Joux,RCP26,2009,8.83
Joux,RCP26,2010,8.74
Joux,RCP26,2011,8.33
Joux,RCP26,2012,8.54
Joux,RCP26,2013,9.03
Joux,RCP26,2014,9.13
Joux,RCP26,2015,8.36
Joux,RCP26,2016,8.33
Joux,RCP26,2017,9.37
Joux,RCP26,2018,8.73
Joux,RCP26,2019,8.63
Joux,RCP26,2020,9.23
Joux,RCP26,2021,8.8
Joux,RCP26,2022,9.08
Joux,RCP26,2023,9.32
Joux,RCP26,2024,9.5
Joux,RCP26,2025,9.02
Joux,RCP26,2026,9.51
Joux,RCP26,2027,8.59
Joux,RCP26,2028,9.69
Joux,RCP26,2029,8.84
Joux,RCP26,2030,8.56
Joux,RCP26,2031,9.1
Joux,RCP26,2032,8.86
Joux,RCP26,2033,9.44
Joux,RCP26,2034,9.17
Joux,RCP26,2035,9.08
Joux,RCP26,2036,8.89
Joux,RCP26,2037,10.49
Joux,RCP26,2038,9.5
Joux,RCP26,2039,9.62
Joux,RCP26,2040,9.84
Joux,RCP26,2041,9.58
Joux,RCP26,2042,8.69
Joux,RCP26,2043,9.47
Joux,RCP26,2044,9.83
Joux,RCP26,2045,9.54
Joux,RCP26,2046,9.42
Joux,RCP26,2047,9.6
Joux,RCP26,2048,9.34
Joux,RCP26,2049,10.06
Joux,RCP26,2050,9.68
