See,Szenario,Jahr,Temperatur
Klontaler,RCP26,1981,10.03
Klontaler,RCP26,1982,9.67
Klontaler,RCP26,1983,9.98
Klontaler,RCP26,1984,9.21
Klontaler,RCP26,1985,10.13
Klontaler,RCP26,1986,10.03
Klontaler,RCP26,1987,9.57
Klontaler,RCP26,1988,9.65
Klontaler,RCP26,1989,10.05
Klontaler,RCP26,1990,9.72
Klontaler,RCP26,1991,10.14
Klontaler,RCP26,1992,10.46
Klontaler,RCP26,1993,10.39
Klontaler,RCP26,1994,9.33
Klontaler,RCP26,1995,10.14
Klontaler,RCP26,1996,9.68
Klontaler,RCP26,1997,9.94
Klontaler,RCP26,1998,9.69
Klontaler,RCP26,1999,9.9
Klontaler,RCP26,2000,10.48
Klontaler,RCP26,2001,9.84
Klontaler,RCP26,2002,9.81
Klontaler,RCP26,2003,10.22
Klontaler,RCP26,2004,10.18
Klontaler,RCP26,2005,10.62
Klontaler,RCP26,2006,10.65
Klontaler,RCP26,2007,9.63
Klontaler,RCP26,2008,9.96
Klontaler,RCP26,2009,10.22
Klontaler,RCP26,2010,10.65
Klontaler,RCP26,2011,10.01
Klontaler,RCP26,2012,10.12
Klontaler,RCP26,2013,10.57
Klontaler,RCP26,2014,10.76
Klontaler,RCP26,2015,9.87
Klontaler,RCP26,2016,9.57
Klontaler,RCP26,2017,10.41
Klontaler,RCP26,2018,10.35
Klontaler,RCP26,2019,10.17
Klontaler,RCP26,2020,10.66
Klontaler,RCP26,2021,10.27
Klontaler,RCP26,2022,10.53
Klontaler,RCP26,2023,10.99
Klontaler,RCP26,2024,11.19
Klontaler,RCP26,2025,10.46
Klontaler,RCP26,2026,11.11
Klontaler,RCP26,2027,10.56
Klontaler,RCP26,2028,10.8
Klontaler,RCP26,2029,10.12
Klontaler,RCP26,2030,10.21
Klontaler,RCP26,2031,10.65
Klontaler,RCP26,2032,10.73
Klontaler,RCP26,2033,11.36
Klontaler,RCP26,2034,10.84
Klontaler,RCP26,2035,11.01
Klontaler,RCP26,2036,10.36
Klontaler,RCP26,2037,11.57
Klontaler,RCP26,2038,10.75
Klontaler,RCP26,2039,10.63
Klontaler,RCP26,2040,11.39
Klontaler,RCP26,2041,11.35
Klontaler,RCP26,2042,10.57
