See,Szenario,Jahr,Temperatur
LacdelHongrin,RCP26,1981,11.24
LacdelHongrin,RCP26,1982,12.03
LacdelHongrin,RCP26,1983,11.85
LacdelHongrin,RCP26,1984,10.71
LacdelHongrin,RCP26,1985,11.51
LacdelHongrin,RCP26,1986,12.26
LacdelHongrin,RCP26,1987,11.6
LacdelHongrin,RCP26,1988,11.94
LacdelHongrin,RCP26,1989,12.18
LacdelHongrin,RCP26,1990,12.09
LacdelHongrin,RCP26,1991,11.75
LacdelHongrin,RCP26,1992,12.49
LacdelHongrin,RCP26,1993,12.49
LacdelHongrin,RCP26,1994,11.48
LacdelHongrin,RCP26,1995,12.3
LacdelHongrin,RCP26,1996,12.2
LacdelHongrin,RCP26,1997,12.55
LacdelHongrin,RCP26,1998,11.75
LacdelHongrin,RCP26,1999,12.34
LacdelHongrin,RCP26,2000,12.86
LacdelHongrin,RCP26,2001,12.31
LacdelHongrin,RCP26,2002,12.14
LacdelHongrin,RCP26,2003,12.43
LacdelHongrin,RCP26,2004,12.53
LacdelHongrin,RCP26,2005,12.62
LacdelHongrin,RCP26,2006,12.76
LacdelHongrin,RCP26,2007,11.98
LacdelHongrin,RCP26,2008,11.99
LacdelHongrin,RCP26,2009,12.69
LacdelHongrin,RCP26,2010,13.01
LacdelHongrin,RCP26,2011,12.22
LacdelHongrin,RCP26,2012,11.87
LacdelHongrin,RCP26,2013,12.98
LacdelHongrin,RCP26,2014,13.19
LacdelHongrin,RCP26,2015,12.55
LacdelHongrin,RCP26,2016,12.13
LacdelHongrin,RCP26,2017,12.34
LacdelHongrin,RCP26,2018,12.62
LacdelHongrin,RCP26,2019,12.62
LacdelHongrin,RCP26,2020,13.12
LacdelHongrin,RCP26,2021,12.71
LacdelHongrin,RCP26,2022,12.88
LacdelHongrin,RCP26,2023,13.59
LacdelHongrin,RCP26,2024,13.35
LacdelHongrin,RCP26,2025,13.01
LacdelHongrin,RCP26,2026,13.37
LacdelHongrin,RCP26,2027,12.99
LacdelHongrin,RCP26,2028,13.15
LacdelHongrin,RCP26,2029,12.64
LacdelHongrin,RCP26,2030,12.73
LacdelHongrin,RCP26,2031,13.11
LacdelHongrin,RCP26,2032,12.98
LacdelHongrin,RCP26,2033,13.61
LacdelHongrin,RCP26,2034,13.42
LacdelHongrin,RCP26,2035,13.52
LacdelHongrin,RCP26,2036,12.88
LacdelHongrin,RCP26,2037,14.3
LacdelHongrin,RCP26,2038,13.07
LacdelHongrin,RCP26,2039,13.19
LacdelHongrin,RCP26,2040,13.98
LacdelHongrin,RCP26,2041,13.49
LacdelHongrin,RCP26,2042,12.88
LacdelHongrin,RCP26,2043,12.99
LacdelHongrin,RCP26,2044,13.29
LacdelHongrin,RCP26,2045,13.37
LacdelHongrin,RCP26,2046,13.26
LacdelHongrin,RCP26,2047,13.81
LacdelHongrin,RCP26,2048,13.44
LacdelHongrin,RCP26,2049,13.84
LacdelHongrin,RCP26,2050,13.72
LacdelHongrin,RCP26,2051,13.39
LacdelHongrin,RCP26,2052,13.27
LacdelHongrin,RCP26,2053,13.41
LacdelHongrin,RCP26,2054,13.58
LacdelHongrin,RCP26,2055,13.33
LacdelHongrin,RCP26,2056,14.11
LacdelHongrin,RCP26,2057,14.01
LacdelHongrin,RCP26,2058,13.2
LacdelHongrin,RCP26,2059,13.12
LacdelHongrin,RCP26,2060,12.69
LacdelHongrin,RCP26,2061,13.47
LacdelHongrin,RCP26,2062,13.31
LacdelHongrin,RCP26,2063,13.06
LacdelHongrin,RCP26,2064,13.15
LacdelHongrin,RCP26,2065,13.5
LacdelHongrin,RCP26,2066,13.29
LacdelHongrin,RCP26,2067,13.55
LacdelHongrin,RCP26,2068,13.39
LacdelHongrin,RCP26,2069,13.29
LacdelHongrin,RCP26,2070,12.99
LacdelHongrin,RCP26,2071,13.4
