See,Szenario,Jahr,Temperatur
Lower-Constance,RCP26,1981,12.96
Lower-Constance,RCP26,1982,13.92
Lower-Constance,RCP26,1983,13.63
Lower-Constance,RCP26,1984,12.82
Lower-Constance,RCP26,1985,13.48
Lower-Constance,RCP26,1986,13.91
Lower-Constance,RCP26,1987,13.28
Lower-Constance,RCP26,1988,13.56
Lower-Constance,RCP26,1989,13.69
Lower-Constance,RCP26,1990,13.85
Lower-Constance,RCP26,1991,13.1
Lower-Constance,RCP26,1992,14.12
Lower-Constance,RCP26,1993,13.92
Lower-Constance,RCP26,1994,13.09
Lower-Constance,RCP26,1995,14.19
Lower-Constance,RCP26,1996,13.74
Lower-Constance,RCP26,1997,14.3
Lower-Constance,RCP26,1998,13.34
Lower-Constance,RCP26,1999,13.92
Lower-Constance,RCP26,2000,14.18
Lower-Constance,RCP26,2001,13.66
Lower-Constance,RCP26,2002,13.78
Lower-Constance,RCP26,2003,14.32
Lower-Constance,RCP26,2004,14.51
Lower-Constance,RCP26,2005,14.33
Lower-Constance,RCP26,2006,14.36
Lower-Constance,RCP26,2007,13.58
Lower-Constance,RCP26,2008,13.6
Lower-Constance,RCP26,2009,14.02
Lower-Constance,RCP26,2010,14.41
Lower-Constance,RCP26,2011,13.92
Lower-Constance,RCP26,2012,13.79
Lower-Constance,RCP26,2013,14.42
Lower-Constance,RCP26,2014,14.89
Lower-Constance,RCP26,2015,14.06
Lower-Constance,RCP26,2016,13.68
Lower-Constance,RCP26,2017,14.13
Lower-Constance,RCP26,2018,14.23
Lower-Constance,RCP26,2019,14.33
Lower-Constance,RCP26,2020,14.63
Lower-Constance,RCP26,2021,14.06
Lower-Constance,RCP26,2022,14.57
Lower-Constance,RCP26,2023,15.32
Lower-Constance,RCP26,2024,14.89
Lower-Constance,RCP26,2025,14.53
Lower-Constance,RCP26,2026,14.49
Lower-Constance,RCP26,2027,14.3
Lower-Constance,RCP26,2028,14.73
Lower-Constance,RCP26,2029,14.1
Lower-Constance,RCP26,2030,14.11
Lower-Constance,RCP26,2031,14.36
Lower-Constance,RCP26,2032,14.72
Lower-Constance,RCP26,2033,15.13
Lower-Constance,RCP26,2034,14.98
Lower-Constance,RCP26,2035,15.05
Lower-Constance,RCP26,2036,14.52
Lower-Constance,RCP26,2037,15.26
Lower-Constance,RCP26,2038,14.57
Lower-Constance,RCP26,2039,14.67
Lower-Constance,RCP26,2040,15.48
Lower-Constance,RCP26,2041,14.91
Lower-Constance,RCP26,2042,14.14
Lower-Constance,RCP26,2043,14.07
Lower-Constance,RCP26,2044,14.88
Lower-Constance,RCP26,2045,14.96
Lower-Constance,RCP26,2046,14.74
