See,Szenario,Jahr,Temperatur
Lower-Lugano,RCP26,1981,13.56
Lower-Lugano,RCP26,1982,13.68
Lower-Lugano,RCP26,1983,13.59
Lower-Lugano,RCP26,1984,13.5
Lower-Lugano,RCP26,1985,13.71
Lower-Lugano,RCP26,1986,13.68
Lower-Lugano,RCP26,1987,13.67
Lower-Lugano,RCP26,1988,13.77
Lower-Lugano,RCP26,1989,13.92
Lower-Lugano,RCP26,1990,14.05
Lower-Lugano,RCP26,1991,13.54
Lower-Lugano,RCP26,1992,14.48
Lower-Lugano,RCP26,1993,13.9
Lower-Lugano,RCP26,1994,13.51
Lower-Lugano,RCP26,1995,14.19
Lower-Lugano,RCP26,1996,13.84
Lower-Lugano,RCP26,1997,14.51
Lower-Lugano,RCP26,1998,14.05
Lower-Lugano,RCP26,1999,14.23
Lower-Lugano,RCP26,2000,14.42
Lower-Lugano,RCP26,2001,13.86
Lower-Lugano,RCP26,2002,13.87
Lower-Lugano,RCP26,2003,14.02
Lower-Lugano,RCP26,2004,14.22
Lower-Lugano,RCP26,2005,14.26
Lower-Lugano,RCP26,2006,14.3
Lower-Lugano,RCP26,2007,13.9
Lower-Lugano,RCP26,2008,13.74
Lower-Lugano,RCP26,2009,14.27
Lower-Lugano,RCP26,2010,14.66
Lower-Lugano,RCP26,2011,14.18
Lower-Lugano,RCP26,2012,14.22
Lower-Lugano,RCP26,2013,14.7
Lower-Lugano,RCP26,2014,15.13
Lower-Lugano,RCP26,2015,14.21
Lower-Lugano,RCP26,2016,14.22
Lower-Lugano,RCP26,2017,14.31
Lower-Lugano,RCP26,2018,14.54
Lower-Lugano,RCP26,2019,14.33
Lower-Lugano,RCP26,2020,14.82
Lower-Lugano,RCP26,2021,14.56
Lower-Lugano,RCP26,2022,14.98
Lower-Lugano,RCP26,2023,15.36
Lower-Lugano,RCP26,2024,15.28
Lower-Lugano,RCP26,2025,15.04
Lower-Lugano,RCP26,2026,14.87
Lower-Lugano,RCP26,2027,14.77
Lower-Lugano,RCP26,2028,15.01
Lower-Lugano,RCP26,2029,14.55
Lower-Lugano,RCP26,2030,14.56
Lower-Lugano,RCP26,2031,14.94
Lower-Lugano,RCP26,2032,14.93
Lower-Lugano,RCP26,2033,15.21
Lower-Lugano,RCP26,2034,14.82
Lower-Lugano,RCP26,2035,15.15
Lower-Lugano,RCP26,2036,14.58
Lower-Lugano,RCP26,2037,15.59
Lower-Lugano,RCP26,2038,14.82
Lower-Lugano,RCP26,2039,14.83
Lower-Lugano,RCP26,2040,15.51
Lower-Lugano,RCP26,2041,14.79
Lower-Lugano,RCP26,2042,14.24
