See,Szenario,Jahr,Temperatur
Lower-Zurich,RCP26,1981,12.45
Lower-Zurich,RCP26,1982,13.48
Lower-Zurich,RCP26,1983,13.44
Lower-Zurich,RCP26,1984,12.88
Lower-Zurich,RCP26,1985,13.26
Lower-Zurich,RCP26,1986,13.81
Lower-Zurich,RCP26,1987,13.19
Lower-Zurich,RCP26,1988,13.56
Lower-Zurich,RCP26,1989,13.48
Lower-Zurich,RCP26,1990,13.84
Lower-Zurich,RCP26,1991,13.21
Lower-Zurich,RCP26,1992,14.0
Lower-Zurich,RCP26,1993,13.85
Lower-Zurich,RCP26,1994,13.13
Lower-Zurich,RCP26,1995,13.87
Lower-Zurich,RCP26,1996,13.64
Lower-Zurich,RCP26,1997,14.22
Lower-Zurich,RCP26,1998,13.35
Lower-Zurich,RCP26,1999,13.76
Lower-Zurich,RCP26,2000,14.24
Lower-Zurich,RCP26,2001,13.71
Lower-Zurich,RCP26,2002,13.85
Lower-Zurich,RCP26,2003,14.09
Lower-Zurich,RCP26,2004,14.22
Lower-Zurich,RCP26,2005,14.13
Lower-Zurich,RCP26,2006,14.05
Lower-Zurich,RCP26,2007,13.49
Lower-Zurich,RCP26,2008,13.59
Lower-Zurich,RCP26,2009,14.08
Lower-Zurich,RCP26,2010,14.44
Lower-Zurich,RCP26,2011,13.74
Lower-Zurich,RCP26,2012,13.94
Lower-Zurich,RCP26,2013,14.22
Lower-Zurich,RCP26,2014,14.72
Lower-Zurich,RCP26,2015,13.81
Lower-Zurich,RCP26,2016,13.67
Lower-Zurich,RCP26,2017,14.11
Lower-Zurich,RCP26,2018,14.13
Lower-Zurich,RCP26,2019,14.14
Lower-Zurich,RCP26,2020,14.56
Lower-Zurich,RCP26,2021,13.94
Lower-Zurich,RCP26,2022,14.24
Lower-Zurich,RCP26,2023,14.96
Lower-Zurich,RCP26,2024,14.75
Lower-Zurich,RCP26,2025,14.5
Lower-Zurich,RCP26,2026,14.63
Lower-Zurich,RCP26,2027,14.4
Lower-Zurich,RCP26,2028,14.66
Lower-Zurich,RCP26,2029,13.96
Lower-Zurich,RCP26,2030,14.03
Lower-Zurich,RCP26,2031,14.36
Lower-Zurich,RCP26,2032,14.53
Lower-Zurich,RCP26,2033,15.09
Lower-Zurich,RCP26,2034,14.79
Lower-Zurich,RCP26,2035,14.89
Lower-Zurich,RCP26,2036,14.43
Lower-Zurich,RCP26,2037,15.47
Lower-Zurich,RCP26,2038,14.51
Lower-Zurich,RCP26,2039,14.6
Lower-Zurich,RCP26,2040,15.37
Lower-Zurich,RCP26,2041,14.95
Lower-Zurich,RCP26,2042,14.03
Lower-Zurich,RCP26,2043,14.23
Lower-Zurich,RCP26,2044,14.76
Lower-Zurich,RCP26,2045,14.69
Lower-Zurich,RCP26,2046,14.79
Lower-Zurich,RCP26,2047,15.27
Lower-Zurich,RCP26,2048,15.05
Lower-Zurich,RCP26,2049,15.07
Lower-Zurich,RCP26,2050,14.96
Lower-Zurich,RCP26,2051,14.51
Lower-Zurich,RCP26,2052,14.73
Lower-Zurich,RCP26,2053,14.73
Lower-Zurich,RCP26,2054,14.74
Lower-Zurich,RCP26,2055,14.88
Lower-Zurich,RCP26,2056,15.05
Lower-Zurich,RCP26,2057,15.18
Lower-Zurich,RCP26,2058,14.45
Lower-Zurich,RCP26,2059,14.16
Lower-Zurich,RCP26,2060,14.22
Lower-Zurich,RCP26,2061,14.76
Lower-Zurich,RCP26,2062,14.65
Lower-Zurich,RCP26,2063,14.35
Lower-Zurich,RCP26,2064,14.75
Lower-Zurich,RCP26,2065,15.01
Lower-Zurich,RCP26,2066,14.49
Lower-Zurich,RCP26,2067,14.72
Lower-Zurich,RCP26,2068,15.1
Lower-Zurich,RCP26,2069,14.59
Lower-Zurich,RCP26,2070,14.63
Lower-Zurich,RCP26,2071,14.61
Lower-Zurich,RCP26,2072,14.68
Lower-Zurich,RCP26,2073,15.52
Lower-Zurich,RCP26,2074,15.2
Lower-Zurich,RCP26,2075,14.33
Lower-Zurich,RCP26,2076,14.52
Lower-Zurich,RCP26,2077,15.1
Lower-Zurich,RCP26,2078,14.98
Lower-Zurich,RCP26,2079,15.21
Lower-Zurich,RCP26,2080,14.49
Lower-Zurich,RCP26,2081,15.12
Lower-Zurich,RCP26,2082,15.91
Lower-Zurich,RCP26,2083,15.08
Lower-Zurich,RCP26,2084,14.91
Lower-Zurich,RCP26,2085,15.04
Lower-Zurich,RCP26,2086,14.44
Lower-Zurich,RCP26,2087,14.68
Lower-Zurich,RCP26,2088,15.09
Lower-Zurich,RCP26,2089,13.93
Lower-Zurich,RCP26,2090,15.05
Lower-Zurich,RCP26,2091,14.67
Lower-Zurich,RCP26,2092,14.63
Lower-Zurich,RCP26,2093,14.31
Lower-Zurich,RCP26,2094,14.47
Lower-Zurich,RCP26,2095,14.58
Lower-Zurich,RCP26,2096,14.58
Lower-Zurich,RCP26,2097,14.28
Lower-Zurich,RCP26,2098,14.45
Lower-Zurich,RCP26,2099,14.98
Lower-Zurich,RCP45,1981,12.53
Lower-Zurich,RCP45,1982,13.26
Lower-Zurich,RCP45,1983,13.52
Lower-Zurich,RCP45,1984,12.94
Lower-Zurich,RCP45,1985,13.32
Lower-Zurich,RCP45,1986,13.86
Lower-Zurich,RCP45,1987,12.75
Lower-Zurich,RCP45,1988,13.47
Lower-Zurich,RCP45,1989,13.51
Lower-Zurich,RCP45,1990,13.93
Lower-Zurich,RCP45,1991,13.29
Lower-Zurich,RCP45,1992,14.05
Lower-Zurich,RCP45,1993,13.89
Lower-Zurich,RCP45,1994,12.75
Lower-Zurich,RCP45,1995,13.71
Lower-Zurich,RCP45,1996,13.71
Lower-Zurich,RCP45,1997,14.28
Lower-Zurich,RCP45,1998,13.43
Lower-Zurich,RCP45,1999,13.82
Lower-Zurich,RCP45,2000,13.81
Lower-Zurich,RCP45,2001,13.78
Lower-Zurich,RCP45,2002,13.92
Lower-Zurich,RCP45,2003,13.56
Lower-Zurich,RCP45,2004,14.04
Lower-Zurich,RCP45,2005,14.19
Lower-Zurich,RCP45,2006,13.74
Lower-Zurich,RCP45,2007,13.86
Lower-Zurich,RCP45,2008,13.53
Lower-Zurich,RCP45,2009,14.01
Lower-Zurich,RCP45,2010,13.24
Lower-Zurich,RCP45,2011,14.54
Lower-Zurich,RCP45,2012,14.46
Lower-Zurich,RCP45,2013,14.13
Lower-Zurich,RCP45,2014,14.27
Lower-Zurich,RCP45,2015,14.03
Lower-Zurich,RCP45,2016,14.59
Lower-Zurich,RCP45,2017,13.86
Lower-Zurich,RCP45,2018,14.1
Lower-Zurich,RCP45,2019,13.89
Lower-Zurich,RCP45,2020,15.2
Lower-Zurich,RCP45,2021,14.04
Lower-Zurich,RCP45,2022,14.21
Lower-Zurich,RCP45,2023,14.38
Lower-Zurich,RCP45,2024,13.98
Lower-Zurich,RCP45,2025,14.5
Lower-Zurich,RCP45,2026,15.24
