See,Szenario,Jahr,Temperatur
Lucerne-Alpnacher,RCP26,1981,10.87
Lucerne-Alpnacher,RCP26,1982,10.68
Lucerne-Alpnacher,RCP26,1983,10.61
Lucerne-Alpnacher,RCP26,1984,10.07
Lucerne-Alpnacher,RCP26,1985,10.84
Lucerne-Alpnacher,RCP26,1986,10.95
Lucerne-Alpnacher,RCP26,1987,10.23
Lucerne-Alpnacher,RCP26,1988,10.49
Lucerne-Alpnacher,RCP26,1989,10.8
Lucerne-Alpnacher,RCP26,1990,10.63
Lucerne-Alpnacher,RCP26,1991,10.44
Lucerne-Alpnacher,RCP26,1992,11.29
Lucerne-Alpnacher,RCP26,1993,10.97
Lucerne-Alpnacher,RCP26,1994,10.19
Lucerne-Alpnacher,RCP26,1995,11.08
Lucerne-Alpnacher,RCP26,1996,10.44
Lucerne-Alpnacher,RCP26,1997,10.96
Lucerne-Alpnacher,RCP26,1998,10.49
Lucerne-Alpnacher,RCP26,1999,10.68
Lucerne-Alpnacher,RCP26,2000,11.18
Lucerne-Alpnacher,RCP26,2001,10.49
Lucerne-Alpnacher,RCP26,2002,10.57
Lucerne-Alpnacher,RCP26,2003,11.07
Lucerne-Alpnacher,RCP26,2004,11.37
Lucerne-Alpnacher,RCP26,2005,11.07
Lucerne-Alpnacher,RCP26,2006,11.37
Lucerne-Alpnacher,RCP26,2007,10.32
Lucerne-Alpnacher,RCP26,2008,10.76
Lucerne-Alpnacher,RCP26,2009,11.2
Lucerne-Alpnacher,RCP26,2010,11.45
Lucerne-Alpnacher,RCP26,2011,10.7
Lucerne-Alpnacher,RCP26,2012,11.05
Lucerne-Alpnacher,RCP26,2013,11.51
Lucerne-Alpnacher,RCP26,2014,11.66
Lucerne-Alpnacher,RCP26,2015,11.03
Lucerne-Alpnacher,RCP26,2016,10.43
Lucerne-Alpnacher,RCP26,2017,11.29
Lucerne-Alpnacher,RCP26,2018,11.15
Lucerne-Alpnacher,RCP26,2019,11.1
Lucerne-Alpnacher,RCP26,2020,11.76
Lucerne-Alpnacher,RCP26,2021,11.09
Lucerne-Alpnacher,RCP26,2022,11.48
Lucerne-Alpnacher,RCP26,2023,11.97
Lucerne-Alpnacher,RCP26,2024,11.91
Lucerne-Alpnacher,RCP26,2025,11.59
Lucerne-Alpnacher,RCP26,2026,11.85
Lucerne-Alpnacher,RCP26,2027,11.46
Lucerne-Alpnacher,RCP26,2028,11.61
Lucerne-Alpnacher,RCP26,2029,10.91
Lucerne-Alpnacher,RCP26,2030,11.06
Lucerne-Alpnacher,RCP26,2031,11.37
Lucerne-Alpnacher,RCP26,2032,11.47
Lucerne-Alpnacher,RCP26,2033,11.88
Lucerne-Alpnacher,RCP26,2034,11.91
Lucerne-Alpnacher,RCP26,2035,11.83
Lucerne-Alpnacher,RCP26,2036,11.29
Lucerne-Alpnacher,RCP26,2037,12.52
Lucerne-Alpnacher,RCP26,2038,11.74
Lucerne-Alpnacher,RCP26,2039,11.59
Lucerne-Alpnacher,RCP26,2040,12.39
Lucerne-Alpnacher,RCP26,2041,11.94
Lucerne-Alpnacher,RCP26,2042,11.17
Lucerne-Alpnacher,RCP26,2043,11.15
Lucerne-Alpnacher,RCP26,2044,11.67
Lucerne-Alpnacher,RCP26,2045,11.77
Lucerne-Alpnacher,RCP26,2046,11.86
Lucerne-Alpnacher,RCP26,2047,12.41
Lucerne-Alpnacher,RCP26,2048,11.93
Lucerne-Alpnacher,RCP26,2049,12.16
Lucerne-Alpnacher,RCP26,2050,12.1
Lucerne-Alpnacher,RCP26,2051,11.76
Lucerne-Alpnacher,RCP26,2052,11.76
Lucerne-Alpnacher,RCP26,2053,11.81
Lucerne-Alpnacher,RCP26,2054,11.96
Lucerne-Alpnacher,RCP26,2055,11.87
Lucerne-Alpnacher,RCP26,2056,12.41
Lucerne-Alpnacher,RCP26,2057,12.56
Lucerne-Alpnacher,RCP26,2058,11.52
Lucerne-Alpnacher,RCP26,2059,11.2
Lucerne-Alpnacher,RCP26,2060,11.02
Lucerne-Alpnacher,RCP26,2061,11.92
Lucerne-Alpnacher,RCP26,2062,11.79
Lucerne-Alpnacher,RCP26,2063,11.59
Lucerne-Alpnacher,RCP26,2064,11.55
Lucerne-Alpnacher,RCP26,2065,11.9
Lucerne-Alpnacher,RCP26,2066,11.46
Lucerne-Alpnacher,RCP26,2067,11.73
Lucerne-Alpnacher,RCP26,2068,11.84
Lucerne-Alpnacher,RCP26,2069,11.51
Lucerne-Alpnacher,RCP26,2070,11.48
Lucerne-Alpnacher,RCP26,2071,12.0
Lucerne-Alpnacher,RCP26,2072,11.28
Lucerne-Alpnacher,RCP26,2073,12.86
Lucerne-Alpnacher,RCP26,2074,12.18
Lucerne-Alpnacher,RCP26,2075,11.26
Lucerne-Alpnacher,RCP26,2076,11.78
Lucerne-Alpnacher,RCP26,2077,12.19
Lucerne-Alpnacher,RCP26,2078,12.0
Lucerne-Alpnacher,RCP26,2079,12.3
Lucerne-Alpnacher,RCP26,2080,11.64
Lucerne-Alpnacher,RCP26,2081,12.21
Lucerne-Alpnacher,RCP26,2082,13.18
Lucerne-Alpnacher,RCP26,2083,12.16
Lucerne-Alpnacher,RCP26,2084,11.78
Lucerne-Alpnacher,RCP26,2085,12.21
Lucerne-Alpnacher,RCP26,2086,11.54
Lucerne-Alpnacher,RCP26,2087,11.79
Lucerne-Alpnacher,RCP26,2088,12.07
Lucerne-Alpnacher,RCP26,2089,11.09
Lucerne-Alpnacher,RCP26,2090,12.27
Lucerne-Alpnacher,RCP26,2091,12.17
Lucerne-Alpnacher,RCP26,2092,11.6
Lucerne-Alpnacher,RCP26,2093,11.37
Lucerne-Alpnacher,RCP26,2094,11.5
Lucerne-Alpnacher,RCP26,2095,11.34
Lucerne-Alpnacher,RCP26,2096,11.67
Lucerne-Alpnacher,RCP26,2097,11.26
Lucerne-Alpnacher,RCP26,2098,11.46
Lucerne-Alpnacher,RCP26,2099,12.11
Lucerne-Alpnacher,RCP45,1981,10.93
Lucerne-Alpnacher,RCP45,1982,10.57
Lucerne-Alpnacher,RCP45,1983,10.67
Lucerne-Alpnacher,RCP45,1984,10.31
Lucerne-Alpnacher,RCP45,1985,10.87
Lucerne-Alpnacher,RCP45,1986,11.0
Lucerne-Alpnacher,RCP45,1987,10.41
Lucerne-Alpnacher,RCP45,1988,10.5
Lucerne-Alpnacher,RCP45,1989,10.79
Lucerne-Alpnacher,RCP45,1990,10.7
Lucerne-Alpnacher,RCP45,1991,10.44
Lucerne-Alpnacher,RCP45,1992,11.33
Lucerne-Alpnacher,RCP45,1993,10.97
Lucerne-Alpnacher,RCP45,1994,10.18
Lucerne-Alpnacher,RCP45,1995,11.03
Lucerne-Alpnacher,RCP45,1996,10.51
Lucerne-Alpnacher,RCP45,1997,11.46
