See,Szenario,Jahr,Temperatur
Lucerne-Gersauer,RCP26,1981,9.1
Lucerne-Gersauer,RCP26,1982,9.94
Lucerne-Gersauer,RCP26,1983,9.9
Lucerne-Gersauer,RCP26,1984,9.83
Lucerne-Gersauer,RCP26,1985,10.32
Lucerne-Gersauer,RCP26,1986,10.57
Lucerne-Gersauer,RCP26,1987,10.23
Lucerne-Gersauer,RCP26,1988,10.07
Lucerne-Gersauer,RCP26,1989,10.48
Lucerne-Gersauer,RCP26,1990,10.25
Lucerne-Gersauer,RCP26,1991,10.24
Lucerne-Gersauer,RCP26,1992,10.85
Lucerne-Gersauer,RCP26,1993,11.13
Lucerne-Gersauer,RCP26,1994,9.84
Lucerne-Gersauer,RCP26,1995,10.51
Lucerne-Gersauer,RCP26,1996,10.2
Lucerne-Gersauer,RCP26,1997,10.88
Lucerne-Gersauer,RCP26,1998,10.47
Lucerne-Gersauer,RCP26,1999,10.6
Lucerne-Gersauer,RCP26,2000,11.29
Lucerne-Gersauer,RCP26,2001,10.39
Lucerne-Gersauer,RCP26,2002,10.73
Lucerne-Gersauer,RCP26,2003,10.68
Lucerne-Gersauer,RCP26,2004,10.89
Lucerne-Gersauer,RCP26,2005,11.03
Lucerne-Gersauer,RCP26,2006,11.2
Lucerne-Gersauer,RCP26,2007,10.55
Lucerne-Gersauer,RCP26,2008,11.08
Lucerne-Gersauer,RCP26,2009,11.36
Lucerne-Gersauer,RCP26,2010,11.35
Lucerne-Gersauer,RCP26,2011,10.93
Lucerne-Gersauer,RCP26,2012,11.13
Lucerne-Gersauer,RCP26,2013,10.74
Lucerne-Gersauer,RCP26,2014,11.55
Lucerne-Gersauer,RCP26,2015,10.77
Lucerne-Gersauer,RCP26,2016,10.29
Lucerne-Gersauer,RCP26,2017,11.06
Lucerne-Gersauer,RCP26,2018,10.84
Lucerne-Gersauer,RCP26,2019,10.87
Lucerne-Gersauer,RCP26,2020,11.44
Lucerne-Gersauer,RCP26,2021,10.85
Lucerne-Gersauer,RCP26,2022,11.04
Lucerne-Gersauer,RCP26,2023,11.56
Lucerne-Gersauer,RCP26,2024,11.5
Lucerne-Gersauer,RCP26,2025,11.41
Lucerne-Gersauer,RCP26,2026,11.59
Lucerne-Gersauer,RCP26,2027,11.48
Lucerne-Gersauer,RCP26,2028,11.54
Lucerne-Gersauer,RCP26,2029,10.85
Lucerne-Gersauer,RCP26,2030,11.0
Lucerne-Gersauer,RCP26,2031,11.31
Lucerne-Gersauer,RCP26,2032,11.26
Lucerne-Gersauer,RCP26,2033,11.83
Lucerne-Gersauer,RCP26,2034,11.47
Lucerne-Gersauer,RCP26,2035,11.76
Lucerne-Gersauer,RCP26,2036,11.17
Lucerne-Gersauer,RCP26,2037,11.54
Lucerne-Gersauer,RCP26,2038,11.6
Lucerne-Gersauer,RCP26,2039,11.6
Lucerne-Gersauer,RCP26,2040,11.97
Lucerne-Gersauer,RCP26,2041,12.3
Lucerne-Gersauer,RCP26,2042,11.27
Lucerne-Gersauer,RCP26,2043,10.91
Lucerne-Gersauer,RCP26,2044,11.56
Lucerne-Gersauer,RCP26,2045,11.52
Lucerne-Gersauer,RCP26,2046,11.4
