See,Szenario,Jahr,Temperatur
Lucerne-Kreuztrichter,RCP26,1981,9.81
Lucerne-Kreuztrichter,RCP26,1982,11.37
Lucerne-Kreuztrichter,RCP26,1983,11.65
Lucerne-Kreuztrichter,RCP26,1984,11.42
Lucerne-Kreuztrichter,RCP26,1985,11.69
Lucerne-Kreuztrichter,RCP26,1986,12.62
Lucerne-Kreuztrichter,RCP26,1987,11.62
Lucerne-Kreuztrichter,RCP26,1988,11.98
Lucerne-Kreuztrichter,RCP26,1989,11.91
Lucerne-Kreuztrichter,RCP26,1990,12.05
Lucerne-Kreuztrichter,RCP26,1991,11.5
Lucerne-Kreuztrichter,RCP26,1992,12.43
Lucerne-Kreuztrichter,RCP26,1993,12.4
Lucerne-Kreuztrichter,RCP26,1994,11.37
Lucerne-Kreuztrichter,RCP26,1995,12.19
Lucerne-Kreuztrichter,RCP26,1996,11.96
Lucerne-Kreuztrichter,RCP26,1997,12.58
Lucerne-Kreuztrichter,RCP26,1998,11.85
Lucerne-Kreuztrichter,RCP26,1999,12.07
Lucerne-Kreuztrichter,RCP26,2000,12.72
Lucerne-Kreuztrichter,RCP26,2001,12.0
Lucerne-Kreuztrichter,RCP26,2002,12.02
Lucerne-Kreuztrichter,RCP26,2003,12.29
Lucerne-Kreuztrichter,RCP26,2004,12.66
Lucerne-Kreuztrichter,RCP26,2005,12.28
Lucerne-Kreuztrichter,RCP26,2006,12.59
Lucerne-Kreuztrichter,RCP26,2007,11.98
Lucerne-Kreuztrichter,RCP26,2008,12.13
Lucerne-Kreuztrichter,RCP26,2009,12.67
Lucerne-Kreuztrichter,RCP26,2010,12.81
Lucerne-Kreuztrichter,RCP26,2011,12.27
Lucerne-Kreuztrichter,RCP26,2012,12.58
Lucerne-Kreuztrichter,RCP26,2013,12.55
Lucerne-Kreuztrichter,RCP26,2014,13.12
Lucerne-Kreuztrichter,RCP26,2015,12.39
Lucerne-Kreuztrichter,RCP26,2016,11.82
Lucerne-Kreuztrichter,RCP26,2017,12.58
Lucerne-Kreuztrichter,RCP26,2018,12.39
Lucerne-Kreuztrichter,RCP26,2019,12.45
Lucerne-Kreuztrichter,RCP26,2020,13.21
Lucerne-Kreuztrichter,RCP26,2021,12.56
Lucerne-Kreuztrichter,RCP26,2022,12.92
Lucerne-Kreuztrichter,RCP26,2023,13.07
Lucerne-Kreuztrichter,RCP26,2024,12.93
Lucerne-Kreuztrichter,RCP26,2025,13.22
Lucerne-Kreuztrichter,RCP26,2026,13.21
Lucerne-Kreuztrichter,RCP26,2027,12.86
Lucerne-Kreuztrichter,RCP26,2028,13.12
Lucerne-Kreuztrichter,RCP26,2029,12.38
Lucerne-Kreuztrichter,RCP26,2030,12.43
Lucerne-Kreuztrichter,RCP26,2031,12.71
Lucerne-Kreuztrichter,RCP26,2032,12.96
Lucerne-Kreuztrichter,RCP26,2033,13.47
Lucerne-Kreuztrichter,RCP26,2034,13.49
Lucerne-Kreuztrichter,RCP26,2035,13.28
Lucerne-Kreuztrichter,RCP26,2036,13.05
Lucerne-Kreuztrichter,RCP26,2037,13.61
Lucerne-Kreuztrichter,RCP26,2038,13.06
Lucerne-Kreuztrichter,RCP26,2039,13.33
Lucerne-Kreuztrichter,RCP26,2040,13.95
Lucerne-Kreuztrichter,RCP26,2041,13.46
Lucerne-Kreuztrichter,RCP26,2042,12.4
Lucerne-Kreuztrichter,RCP26,2043,12.65
Lucerne-Kreuztrichter,RCP26,2044,13.08
Lucerne-Kreuztrichter,RCP26,2045,13.13
Lucerne-Kreuztrichter,RCP26,2046,13.24
Lucerne-Kreuztrichter,RCP26,2047,13.66
Lucerne-Kreuztrichter,RCP26,2048,13.52
Lucerne-Kreuztrichter,RCP26,2049,13.88
Lucerne-Kreuztrichter,RCP26,2050,13.62
Lucerne-Kreuztrichter,RCP26,2051,13.07
Lucerne-Kreuztrichter,RCP26,2052,13.32
Lucerne-Kreuztrichter,RCP26,2053,13.14
Lucerne-Kreuztrichter,RCP26,2054,13.26
Lucerne-Kreuztrichter,RCP26,2055,13.17
Lucerne-Kreuztrichter,RCP26,2056,13.38
Lucerne-Kreuztrichter,RCP26,2057,14.09
Lucerne-Kreuztrichter,RCP26,2058,12.77
Lucerne-Kreuztrichter,RCP26,2059,12.42
Lucerne-Kreuztrichter,RCP26,2060,12.55
Lucerne-Kreuztrichter,RCP26,2061,13.34
Lucerne-Kreuztrichter,RCP26,2062,13.13
Lucerne-Kreuztrichter,RCP26,2063,12.89
Lucerne-Kreuztrichter,RCP26,2064,13.04
Lucerne-Kreuztrichter,RCP26,2065,13.5
Lucerne-Kreuztrichter,RCP26,2066,12.86
Lucerne-Kreuztrichter,RCP26,2067,13.13
Lucerne-Kreuztrichter,RCP26,2068,13.3
Lucerne-Kreuztrichter,RCP26,2069,12.82
Lucerne-Kreuztrichter,RCP26,2070,12.96
Lucerne-Kreuztrichter,RCP26,2071,13.2
Lucerne-Kreuztrichter,RCP26,2072,12.96
Lucerne-Kreuztrichter,RCP26,2073,13.99
Lucerne-Kreuztrichter,RCP26,2074,13.73
Lucerne-Kreuztrichter,RCP26,2075,12.96
Lucerne-Kreuztrichter,RCP26,2076,13.11
Lucerne-Kreuztrichter,RCP26,2077,13.37
Lucerne-Kreuztrichter,RCP26,2078,13.48
Lucerne-Kreuztrichter,RCP26,2079,13.83
Lucerne-Kreuztrichter,RCP26,2080,13.04
Lucerne-Kreuztrichter,RCP26,2081,13.78
Lucerne-Kreuztrichter,RCP26,2082,14.23
Lucerne-Kreuztrichter,RCP26,2083,13.88
Lucerne-Kreuztrichter,RCP26,2084,13.68
Lucerne-Kreuztrichter,RCP26,2085,13.59
Lucerne-Kreuztrichter,RCP26,2086,12.91
Lucerne-Kreuztrichter,RCP26,2087,13.21
Lucerne-Kreuztrichter,RCP26,2088,13.58
Lucerne-Kreuztrichter,RCP26,2089,12.45
Lucerne-Kreuztrichter,RCP26,2090,13.74
Lucerne-Kreuztrichter,RCP26,2091,13.3
Lucerne-Kreuztrichter,RCP26,2092,13.04
Lucerne-Kreuztrichter,RCP26,2093,12.7
Lucerne-Kreuztrichter,RCP26,2094,12.93
Lucerne-Kreuztrichter,RCP26,2095,13.01
Lucerne-Kreuztrichter,RCP26,2096,13.25
Lucerne-Kreuztrichter,RCP26,2097,12.93
Lucerne-Kreuztrichter,RCP26,2098,12.88
Lucerne-Kreuztrichter,RCP26,2099,13.43
Lucerne-Kreuztrichter,RCP45,1981,9.87
Lucerne-Kreuztrichter,RCP45,1982,11.33
Lucerne-Kreuztrichter,RCP45,1983,11.69
Lucerne-Kreuztrichter,RCP45,1984,11.53
Lucerne-Kreuztrichter,RCP45,1985,11.73
Lucerne-Kreuztrichter,RCP45,1986,12.68
Lucerne-Kreuztrichter,RCP45,1987,11.6
Lucerne-Kreuztrichter,RCP45,1988,12.0
Lucerne-Kreuztrichter,RCP45,1989,11.92
Lucerne-Kreuztrichter,RCP45,1990,12.11
Lucerne-Kreuztrichter,RCP45,1991,11.57
Lucerne-Kreuztrichter,RCP45,1992,12.47
Lucerne-Kreuztrichter,RCP45,1993,12.43
Lucerne-Kreuztrichter,RCP45,1994,11.4
Lucerne-Kreuztrichter,RCP45,1995,12.23
Lucerne-Kreuztrichter,RCP45,1996,12.01
Lucerne-Kreuztrichter,RCP45,1997,12.64
Lucerne-Kreuztrichter,RCP45,1998,11.74
Lucerne-Kreuztrichter,RCP45,1999,12.11
Lucerne-Kreuztrichter,RCP45,2000,12.51
Lucerne-Kreuztrichter,RCP45,2001,11.82
Lucerne-Kreuztrichter,RCP45,2002,12.08
Lucerne-Kreuztrichter,RCP45,2003,11.97
Lucerne-Kreuztrichter,RCP45,2004,12.73
Lucerne-Kreuztrichter,RCP45,2005,12.32
Lucerne-Kreuztrichter,RCP45,2006,12.38
Lucerne-Kreuztrichter,RCP45,2007,12.47
Lucerne-Kreuztrichter,RCP45,2008,11.99
Lucerne-Kreuztrichter,RCP45,2009,12.54
Lucerne-Kreuztrichter,RCP45,2010,12.0
Lucerne-Kreuztrichter,RCP45,2011,12.86
Lucerne-Kreuztrichter,RCP45,2012,12.5
Lucerne-Kreuztrichter,RCP45,2013,12.53
Lucerne-Kreuztrichter,RCP45,2014,12.72
Lucerne-Kreuztrichter,RCP45,2015,12.68
Lucerne-Kreuztrichter,RCP45,2016,13.04
Lucerne-Kreuztrichter,RCP45,2017,12.29
Lucerne-Kreuztrichter,RCP45,2018,12.85
Lucerne-Kreuztrichter,RCP45,2019,12.67
Lucerne-Kreuztrichter,RCP45,2020,13.66
Lucerne-Kreuztrichter,RCP45,2021,12.57
Lucerne-Kreuztrichter,RCP45,2022,12.46
Lucerne-Kreuztrichter,RCP45,2023,12.83
Lucerne-Kreuztrichter,RCP45,2024,12.57
Lucerne-Kreuztrichter,RCP45,2025,13.05
Lucerne-Kreuztrichter,RCP45,2026,13.6
Lucerne-Kreuztrichter,RCP45,2027,13.18
Lucerne-Kreuztrichter,RCP45,2028,12.89
Lucerne-Kreuztrichter,RCP45,2029,12.38
Lucerne-Kreuztrichter,RCP45,2030,12.65
Lucerne-Kreuztrichter,RCP45,2031,12.71
Lucerne-Kreuztrichter,RCP45,2032,13.14
Lucerne-Kreuztrichter,RCP45,2033,13.2
Lucerne-Kreuztrichter,RCP45,2034,12.98
Lucerne-Kreuztrichter,RCP45,2035,12.49
Lucerne-Kreuztrichter,RCP45,2036,13.56
Lucerne-Kreuztrichter,RCP45,2037,12.72
Lucerne-Kreuztrichter,RCP45,2038,13.68
Lucerne-Kreuztrichter,RCP45,2039,13.73
Lucerne-Kreuztrichter,RCP45,2040,13.72
Lucerne-Kreuztrichter,RCP45,2041,13.51
Lucerne-Kreuztrichter,RCP45,2042,13.52
Lucerne-Kreuztrichter,RCP45,2043,12.95
Lucerne-Kreuztrichter,RCP45,2044,14.13
Lucerne-Kreuztrichter,RCP45,2045,13.24
Lucerne-Kreuztrichter,RCP45,2046,13.71
Lucerne-Kreuztrichter,RCP45,2047,13.34
Lucerne-Kreuztrichter,RCP45,2048,13.45
Lucerne-Kreuztrichter,RCP45,2049,13.81
Lucerne-Kreuztrichter,RCP45,2050,13.28
Lucerne-Kreuztrichter,RCP45,2051,13.79
Lucerne-Kreuztrichter,RCP45,2052,13.07
Lucerne-Kreuztrichter,RCP45,2053,13.55
Lucerne-Kreuztrichter,RCP45,2054,13.04
Lucerne-Kreuztrichter,RCP45,2055,13.88
Lucerne-Kreuztrichter,RCP45,2056,14.39
Lucerne-Kreuztrichter,RCP45,2057,13.77
Lucerne-Kreuztrichter,RCP45,2058,13.08
Lucerne-Kreuztrichter,RCP45,2059,13.86
Lucerne-Kreuztrichter,RCP45,2060,14.13
Lucerne-Kreuztrichter,RCP45,2061,14.27
Lucerne-Kreuztrichter,RCP45,2062,14.7
Lucerne-Kreuztrichter,RCP45,2063,14.09
Lucerne-Kreuztrichter,RCP45,2064,13.68
Lucerne-Kreuztrichter,RCP45,2065,13.89
Lucerne-Kreuztrichter,RCP45,2066,14.29
Lucerne-Kreuztrichter,RCP45,2067,15.18
Lucerne-Kreuztrichter,RCP45,2068,13.39
Lucerne-Kreuztrichter,RCP45,2069,14.04
Lucerne-Kreuztrichter,RCP45,2070,14.24
Lucerne-Kreuztrichter,RCP45,2071,13.62
Lucerne-Kreuztrichter,RCP45,2072,15.2
Lucerne-Kreuztrichter,RCP45,2073,14.13
Lucerne-Kreuztrichter,RCP45,2074,13.85
