See,Szenario,Jahr,Temperatur
Lucerne-Urnersee,RCP26,1981,12.08
Lucerne-Urnersee,RCP26,1982,11.94
Lucerne-Urnersee,RCP26,1983,11.8
Lucerne-Urnersee,RCP26,1984,11.81
Lucerne-Urnersee,RCP26,1985,12.05
Lucerne-Urnersee,RCP26,1986,12.47
Lucerne-Urnersee,RCP26,1987,12.11
Lucerne-Urnersee,RCP26,1988,12.17
Lucerne-Urnersee,RCP26,1989,12.46
Lucerne-Urnersee,RCP26,1990,12.27
Lucerne-Urnersee,RCP26,1991,12.42
Lucerne-Urnersee,RCP26,1992,12.78
Lucerne-Urnersee,RCP26,1993,12.81
Lucerne-Urnersee,RCP26,1994,11.82
Lucerne-Urnersee,RCP26,1995,12.72
Lucerne-Urnersee,RCP26,1996,12.11
Lucerne-Urnersee,RCP26,1997,12.76
Lucerne-Urnersee,RCP26,1998,12.37
Lucerne-Urnersee,RCP26,1999,12.46
Lucerne-Urnersee,RCP26,2000,12.99
Lucerne-Urnersee,RCP26,2001,12.4
Lucerne-Urnersee,RCP26,2002,12.62
Lucerne-Urnersee,RCP26,2003,12.68
Lucerne-Urnersee,RCP26,2004,12.67
Lucerne-Urnersee,RCP26,2005,12.95
Lucerne-Urnersee,RCP26,2006,13.24
Lucerne-Urnersee,RCP26,2007,12.03
Lucerne-Urnersee,RCP26,2008,12.75
Lucerne-Urnersee,RCP26,2009,13.2
Lucerne-Urnersee,RCP26,2010,13.25
Lucerne-Urnersee,RCP26,2011,12.73
Lucerne-Urnersee,RCP26,2012,13.1
Lucerne-Urnersee,RCP26,2013,13.11
Lucerne-Urnersee,RCP26,2014,13.35
Lucerne-Urnersee,RCP26,2015,12.59
Lucerne-Urnersee,RCP26,2016,12.29
Lucerne-Urnersee,RCP26,2017,13.03
Lucerne-Urnersee,RCP26,2018,12.9
Lucerne-Urnersee,RCP26,2019,12.64
Lucerne-Urnersee,RCP26,2020,13.18
Lucerne-Urnersee,RCP26,2021,12.73
Lucerne-Urnersee,RCP26,2022,12.99
Lucerne-Urnersee,RCP26,2023,13.5
Lucerne-Urnersee,RCP26,2024,13.71
Lucerne-Urnersee,RCP26,2025,13.08
Lucerne-Urnersee,RCP26,2026,13.64
Lucerne-Urnersee,RCP26,2027,13.41
Lucerne-Urnersee,RCP26,2028,13.45
Lucerne-Urnersee,RCP26,2029,12.9
Lucerne-Urnersee,RCP26,2030,12.72
Lucerne-Urnersee,RCP26,2031,13.03
Lucerne-Urnersee,RCP26,2032,13.28
Lucerne-Urnersee,RCP26,2033,13.79
Lucerne-Urnersee,RCP26,2034,13.28
Lucerne-Urnersee,RCP26,2035,13.79
Lucerne-Urnersee,RCP26,2036,13.13
Lucerne-Urnersee,RCP26,2037,14.02
Lucerne-Urnersee,RCP26,2038,13.24
Lucerne-Urnersee,RCP26,2039,13.33
Lucerne-Urnersee,RCP26,2040,14.01
Lucerne-Urnersee,RCP26,2041,14.11
Lucerne-Urnersee,RCP26,2042,13.19
Lucerne-Urnersee,RCP26,2043,12.97
Lucerne-Urnersee,RCP26,2044,13.5
Lucerne-Urnersee,RCP26,2045,13.54
Lucerne-Urnersee,RCP26,2046,13.42
Lucerne-Urnersee,RCP26,2047,13.96
Lucerne-Urnersee,RCP26,2048,13.71
Lucerne-Urnersee,RCP26,2049,13.96
Lucerne-Urnersee,RCP26,2050,13.86
Lucerne-Urnersee,RCP26,2051,13.96
Lucerne-Urnersee,RCP26,2052,13.85
Lucerne-Urnersee,RCP26,2053,13.58
