See,Szenario,Jahr,Temperatur
Maggiore,RCP26,1981,12.31
Maggiore,RCP26,1982,12.39
Maggiore,RCP26,1983,12.32
Maggiore,RCP26,1984,12.33
Maggiore,RCP26,1985,12.37
Maggiore,RCP26,1986,12.45
Maggiore,RCP26,1987,12.42
Maggiore,RCP26,1988,12.43
Maggiore,RCP26,1989,12.53
Maggiore,RCP26,1990,12.87
Maggiore,RCP26,1991,12.32
Maggiore,RCP26,1992,13.1
Maggiore,RCP26,1993,12.64
Maggiore,RCP26,1994,12.26
Maggiore,RCP26,1995,12.8
Maggiore,RCP26,1996,12.39
Maggiore,RCP26,1997,13.03
Maggiore,RCP26,1998,12.68
Maggiore,RCP26,1999,12.77
Maggiore,RCP26,2000,13.18
Maggiore,RCP26,2001,12.7
Maggiore,RCP26,2002,12.81
Maggiore,RCP26,2003,12.92
Maggiore,RCP26,2004,13.14
Maggiore,RCP26,2005,13.01
Maggiore,RCP26,2006,13.01
Maggiore,RCP26,2007,12.62
Maggiore,RCP26,2008,12.71
Maggiore,RCP26,2009,13.15
Maggiore,RCP26,2010,13.25
Maggiore,RCP26,2011,12.81
Maggiore,RCP26,2012,12.89
Maggiore,RCP26,2013,13.36
Maggiore,RCP26,2014,13.75
Maggiore,RCP26,2015,12.81
Maggiore,RCP26,2016,12.87
Maggiore,RCP26,2017,13.06
Maggiore,RCP26,2018,13.15
Maggiore,RCP26,2019,13.01
Maggiore,RCP26,2020,13.42
Maggiore,RCP26,2021,13.18
Maggiore,RCP26,2022,13.64
Maggiore,RCP26,2023,13.9
Maggiore,RCP26,2024,13.84
Maggiore,RCP26,2025,13.69
Maggiore,RCP26,2026,13.51
Maggiore,RCP26,2027,13.65
Maggiore,RCP26,2028,13.63
Maggiore,RCP26,2029,13.35
Maggiore,RCP26,2030,13.2
Maggiore,RCP26,2031,13.41
Maggiore,RCP26,2032,13.73
Maggiore,RCP26,2033,13.86
Maggiore,RCP26,2034,13.58
Maggiore,RCP26,2035,13.78
Maggiore,RCP26,2036,13.44
Maggiore,RCP26,2037,14.23
Maggiore,RCP26,2038,13.63
Maggiore,RCP26,2039,13.46
Maggiore,RCP26,2040,14.07
Maggiore,RCP26,2041,13.49
Maggiore,RCP26,2042,13.24
Maggiore,RCP26,2043,13.57
Maggiore,RCP26,2044,13.6
Maggiore,RCP26,2045,13.68
Maggiore,RCP26,2046,13.31
Maggiore,RCP26,2047,14.18
Maggiore,RCP26,2048,13.87
Maggiore,RCP26,2049,14.07
Maggiore,RCP26,2050,13.85
Maggiore,RCP26,2051,13.86
Maggiore,RCP26,2052,13.75
Maggiore,RCP26,2053,13.67
Maggiore,RCP26,2054,13.77
Maggiore,RCP26,2055,13.68
Maggiore,RCP26,2056,13.95
Maggiore,RCP26,2057,14.36
Maggiore,RCP26,2058,13.45
Maggiore,RCP26,2059,13.3
Maggiore,RCP26,2060,13.63
Maggiore,RCP26,2061,13.79
Maggiore,RCP26,2062,13.81
Maggiore,RCP26,2063,13.6
Maggiore,RCP26,2064,13.73
Maggiore,RCP26,2065,14.17
Maggiore,RCP26,2066,13.7
Maggiore,RCP26,2067,13.65
Maggiore,RCP26,2068,13.89
Maggiore,RCP26,2069,13.55
Maggiore,RCP26,2070,13.34
Maggiore,RCP26,2071,13.49
Maggiore,RCP26,2072,13.54
Maggiore,RCP26,2073,14.09
Maggiore,RCP26,2074,13.9
Maggiore,RCP26,2075,13.17
Maggiore,RCP26,2076,13.35
Maggiore,RCP26,2077,13.59
Maggiore,RCP26,2078,13.74
Maggiore,RCP26,2079,13.9
Maggiore,RCP26,2080,13.61
Maggiore,RCP26,2081,14.18
Maggiore,RCP26,2082,14.35
Maggiore,RCP26,2083,14.15
Maggiore,RCP26,2084,13.75
Maggiore,RCP26,2085,13.74
Maggiore,RCP26,2086,13.99
Maggiore,RCP26,2087,14.05
Maggiore,RCP26,2088,14.04
Maggiore,RCP26,2089,13.08
Maggiore,RCP26,2090,13.96
Maggiore,RCP26,2091,13.58
Maggiore,RCP26,2092,13.89
Maggiore,RCP26,2093,13.51
Maggiore,RCP26,2094,13.4
Maggiore,RCP26,2095,13.64
Maggiore,RCP26,2096,13.38
Maggiore,RCP26,2097,13.56
Maggiore,RCP26,2098,13.98
Maggiore,RCP26,2099,13.83
Maggiore,RCP45,1981,12.33
Maggiore,RCP45,1982,12.01
Maggiore,RCP45,1983,12.37
Maggiore,RCP45,1984,12.38
Maggiore,RCP45,1985,12.41
Maggiore,RCP45,1986,12.39
Maggiore,RCP45,1987,12.35
Maggiore,RCP45,1988,12.39
Maggiore,RCP45,1989,12.58
Maggiore,RCP45,1990,12.92
Maggiore,RCP45,1991,12.34
Maggiore,RCP45,1992,13.17
Maggiore,RCP45,1993,12.68
Maggiore,RCP45,1994,12.19
Maggiore,RCP45,1995,12.85
Maggiore,RCP45,1996,12.47
Maggiore,RCP45,1997,12.78
Maggiore,RCP45,1998,12.72
Maggiore,RCP45,1999,12.8
Maggiore,RCP45,2000,12.69
Maggiore,RCP45,2001,12.59
Maggiore,RCP45,2002,12.87
Maggiore,RCP45,2003,12.67
Maggiore,RCP45,2004,13.17
Maggiore,RCP45,2005,13.07
Maggiore,RCP45,2006,12.89
Maggiore,RCP45,2007,13.03
Maggiore,RCP45,2008,12.56
Maggiore,RCP45,2009,12.83
Maggiore,RCP45,2010,12.42
Maggiore,RCP45,2011,13.34
Maggiore,RCP45,2012,13.39
Maggiore,RCP45,2013,12.97
Maggiore,RCP45,2014,12.87
Maggiore,RCP45,2015,12.87
Maggiore,RCP45,2016,13.26
Maggiore,RCP45,2017,13.09
Maggiore,RCP45,2018,13.2
Maggiore,RCP45,2019,12.72
Maggiore,RCP45,2020,13.52
Maggiore,RCP45,2021,13.14
Maggiore,RCP45,2022,13.03
Maggiore,RCP45,2023,13.46
Maggiore,RCP45,2024,13.02
Maggiore,RCP45,2025,13.4
Maggiore,RCP45,2026,13.46
Maggiore,RCP45,2027,13.54
Maggiore,RCP45,2028,13.34
Maggiore,RCP45,2029,13.13
Maggiore,RCP45,2030,12.94
Maggiore,RCP45,2031,12.98
Maggiore,RCP45,2032,13.5
Maggiore,RCP45,2033,13.91
Maggiore,RCP45,2034,13.76
Maggiore,RCP45,2035,13.51
Maggiore,RCP45,2036,13.67
Maggiore,RCP45,2037,13.38
Maggiore,RCP45,2038,13.88
Maggiore,RCP45,2039,13.81
Maggiore,RCP45,2040,13.85
Maggiore,RCP45,2041,13.81
Maggiore,RCP45,2042,13.97
Maggiore,RCP45,2043,13.46
Maggiore,RCP45,2044,14.12
Maggiore,RCP45,2045,13.98
Maggiore,RCP45,2046,13.81
Maggiore,RCP45,2047,13.77
Maggiore,RCP45,2048,13.68
Maggiore,RCP45,2049,13.69
Maggiore,RCP45,2050,13.67
Maggiore,RCP45,2051,13.98
Maggiore,RCP45,2052,13.69
Maggiore,RCP45,2053,13.81
Maggiore,RCP45,2054,13.77
Maggiore,RCP45,2055,14.09
Maggiore,RCP45,2056,14.26
Maggiore,RCP45,2057,14.31
Maggiore,RCP45,2058,13.9
Maggiore,RCP45,2059,13.95
Maggiore,RCP45,2060,14.34
Maggiore,RCP45,2061,14.4
Maggiore,RCP45,2062,14.72
Maggiore,RCP45,2063,14.38
Maggiore,RCP45,2064,14.24
Maggiore,RCP45,2065,14.04
Maggiore,RCP45,2066,14.56
Maggiore,RCP45,2067,14.53
Maggiore,RCP45,2068,13.96
Maggiore,RCP45,2069,14.44
Maggiore,RCP45,2070,14.62
Maggiore,RCP45,2071,14.17
Maggiore,RCP45,2072,14.67
Maggiore,RCP45,2073,14.45
Maggiore,RCP45,2074,14.46
Maggiore,RCP45,2075,14.38
Maggiore,RCP45,2076,14.35
Maggiore,RCP45,2077,14.09
Maggiore,RCP45,2078,14.24
Maggiore,RCP45,2079,14.66
Maggiore,RCP45,2080,14.78
Maggiore,RCP45,2081,14.78
Maggiore,RCP45,2082,14.48
Maggiore,RCP45,2083,14.78
Maggiore,RCP45,2084,13.89
Maggiore,RCP45,2085,14.36
Maggiore,RCP45,2086,14.36
Maggiore,RCP45,2087,14.59
Maggiore,RCP45,2088,14.65
Maggiore,RCP45,2089,14.54
Maggiore,RCP45,2090,14.82
Maggiore,RCP45,2091,14.67
Maggiore,RCP45,2092,14.75
