See,Szenario,Jahr,Temperatur
Murten,RCP26,1981,13.45
Murten,RCP26,1982,14.07
Murten,RCP26,1983,13.97
Murten,RCP26,1984,13.26
Murten,RCP26,1985,13.85
Murten,RCP26,1986,14.31
Murten,RCP26,1987,13.29
Murten,RCP26,1988,14.09
Murten,RCP26,1989,14.21
Murten,RCP26,1990,14.11
Murten,RCP26,1991,13.49
Murten,RCP26,1992,14.51
Murten,RCP26,1993,14.27
Murten,RCP26,1994,13.51
Murten,RCP26,1995,14.41
Murten,RCP26,1996,13.82
Murten,RCP26,1997,14.34
Murten,RCP26,1998,14.33
Murten,RCP26,1999,14.14
Murten,RCP26,2000,14.5
Murten,RCP26,2001,14.34
Murten,RCP26,2002,14.1
Murten,RCP26,2003,14.54
Murten,RCP26,2004,14.43
Murten,RCP26,2005,14.5
Murten,RCP26,2006,14.71
Murten,RCP26,2007,13.96
Murten,RCP26,2008,14.05
Murten,RCP26,2009,14.68
Murten,RCP26,2010,15.05
Murten,RCP26,2011,13.97
Murten,RCP26,2012,14.25
Murten,RCP26,2013,14.86
Murten,RCP26,2014,14.87
Murten,RCP26,2015,14.17
Murten,RCP26,2016,14.19
Murten,RCP26,2017,15.1
Murten,RCP26,2018,14.68
Murten,RCP26,2019,14.63
Murten,RCP26,2020,15.07
Murten,RCP26,2021,14.58
Murten,RCP26,2022,14.8
Murten,RCP26,2023,15.67
Murten,RCP26,2024,15.47
Murten,RCP26,2025,15.1
Murten,RCP26,2026,15.1
Murten,RCP26,2027,14.65
Murten,RCP26,2028,15.41
Murten,RCP26,2029,14.46
Murten,RCP26,2030,14.62
Murten,RCP26,2031,15.03
Murten,RCP26,2032,14.81
Murten,RCP26,2033,15.56
Murten,RCP26,2034,15.02
Murten,RCP26,2035,15.16
Murten,RCP26,2036,14.77
Murten,RCP26,2037,16.13
Murten,RCP26,2038,15.17
Murten,RCP26,2039,15.04
Murten,RCP26,2040,15.51
Murten,RCP26,2041,15.59
Murten,RCP26,2042,14.7
Murten,RCP26,2043,14.93
Murten,RCP26,2044,15.37
Murten,RCP26,2045,15.34
Murten,RCP26,2046,15.21
Murten,RCP26,2047,15.81
Murten,RCP26,2048,15.51
Murten,RCP26,2049,15.41
Murten,RCP26,2050,15.15
Murten,RCP26,2051,15.45
Murten,RCP26,2052,15.46
Murten,RCP26,2053,15.29
Murten,RCP26,2054,15.2
Murten,RCP26,2055,15.22
Murten,RCP26,2056,16.08
Murten,RCP26,2057,15.83
Murten,RCP26,2058,15.02
Murten,RCP26,2059,14.7
Murten,RCP26,2060,14.5
Murten,RCP26,2061,15.49
Murten,RCP26,2062,15.32
Murten,RCP26,2063,14.72
Murten,RCP26,2064,15.39
Murten,RCP26,2065,15.52
Murten,RCP26,2066,15.15
Murten,RCP26,2067,15.31
Murten,RCP26,2068,15.56
Murten,RCP26,2069,14.94
Murten,RCP26,2070,14.83
Murten,RCP26,2071,15.26
Murten,RCP26,2072,14.82
Murten,RCP26,2073,16.2
Murten,RCP26,2074,15.69
Murten,RCP26,2075,14.81
Murten,RCP26,2076,15.09
Murten,RCP26,2077,15.41
Murten,RCP26,2078,15.29
Murten,RCP26,2079,15.62
Murten,RCP26,2080,14.99
Murten,RCP26,2081,15.66
Murten,RCP26,2082,16.29
Murten,RCP26,2083,15.23
Murten,RCP26,2084,15.25
Murten,RCP26,2085,15.54
Murten,RCP26,2086,15.01
Murten,RCP26,2087,15.22
Murten,RCP26,2088,15.6
Murten,RCP26,2089,14.45
Murten,RCP26,2090,15.54
Murten,RCP26,2091,15.02
Murten,RCP26,2092,15.17
Murten,RCP26,2093,14.96
Murten,RCP26,2094,15.18
Murten,RCP26,2095,14.91
Murten,RCP26,2096,15.28
Murten,RCP26,2097,14.9
Murten,RCP26,2098,14.98
Murten,RCP26,2099,15.43
Murten,RCP45,1981,13.52
Murten,RCP45,1982,13.9
Murten,RCP45,1983,14.01
Murten,RCP45,1984,13.37
Murten,RCP45,1985,13.9
Murten,RCP45,1986,14.03
Murten,RCP45,1987,13.43
Murten,RCP45,1988,14.13
Murten,RCP45,1989,14.27
Murten,RCP45,1990,14.19
Murten,RCP45,1991,13.64
Murten,RCP45,1992,14.56
