See,Szenario,Jahr,Temperatur
Neuchatel,RCP26,1981,12.35
Neuchatel,RCP26,1982,12.83
Neuchatel,RCP26,1983,12.82
Neuchatel,RCP26,1984,12.31
Neuchatel,RCP26,1985,12.91
Neuchatel,RCP26,1986,13.16
Neuchatel,RCP26,1987,12.06
Neuchatel,RCP26,1988,13.2
Neuchatel,RCP26,1989,13.27
Neuchatel,RCP26,1990,13.15
Neuchatel,RCP26,1991,12.53
Neuchatel,RCP26,1992,13.51
Neuchatel,RCP26,1993,13.01
Neuchatel,RCP26,1994,12.52
Neuchatel,RCP26,1995,13.42
Neuchatel,RCP26,1996,12.72
Neuchatel,RCP26,1997,13.25
Neuchatel,RCP26,1998,13.04
Neuchatel,RCP26,1999,12.99
Neuchatel,RCP26,2000,13.45
Neuchatel,RCP26,2001,13.18
Neuchatel,RCP26,2002,13.16
Neuchatel,RCP26,2003,13.48
Neuchatel,RCP26,2004,13.36
Neuchatel,RCP26,2005,13.29
Neuchatel,RCP26,2006,13.41
Neuchatel,RCP26,2007,12.93
Neuchatel,RCP26,2008,13.01
Neuchatel,RCP26,2009,13.48
Neuchatel,RCP26,2010,14.1
Neuchatel,RCP26,2011,13.01
Neuchatel,RCP26,2012,13.22
Neuchatel,RCP26,2013,13.74
Neuchatel,RCP26,2014,13.77
Neuchatel,RCP26,2015,13.06
Neuchatel,RCP26,2016,13.15
Neuchatel,RCP26,2017,13.95
Neuchatel,RCP26,2018,13.75
Neuchatel,RCP26,2019,13.5
Neuchatel,RCP26,2020,13.95
Neuchatel,RCP26,2021,13.46
Neuchatel,RCP26,2022,13.66
Neuchatel,RCP26,2023,14.57
Neuchatel,RCP26,2024,14.29
Neuchatel,RCP26,2025,13.98
Neuchatel,RCP26,2026,14.05
Neuchatel,RCP26,2027,13.77
Neuchatel,RCP26,2028,14.29
Neuchatel,RCP26,2029,13.46
Neuchatel,RCP26,2030,13.51
Neuchatel,RCP26,2031,13.87
Neuchatel,RCP26,2032,13.81
Neuchatel,RCP26,2033,14.44
Neuchatel,RCP26,2034,14.01
Neuchatel,RCP26,2035,14.07
Neuchatel,RCP26,2036,13.54
Neuchatel,RCP26,2037,15.04
Neuchatel,RCP26,2038,13.98
Neuchatel,RCP26,2039,13.9
Neuchatel,RCP26,2040,14.39
Neuchatel,RCP26,2041,14.62
Neuchatel,RCP26,2042,13.53
Neuchatel,RCP26,2043,13.89
Neuchatel,RCP26,2044,14.33
Neuchatel,RCP26,2045,14.17
Neuchatel,RCP26,2046,14.2
Neuchatel,RCP26,2047,14.58
Neuchatel,RCP26,2048,14.43
Neuchatel,RCP26,2049,14.29
Neuchatel,RCP26,2050,14.03
Neuchatel,RCP26,2051,14.23
Neuchatel,RCP26,2052,14.45
Neuchatel,RCP26,2053,14.25
Neuchatel,RCP26,2054,14.15
Neuchatel,RCP26,2055,14.06
Neuchatel,RCP26,2056,14.81
Neuchatel,RCP26,2057,14.98
Neuchatel,RCP26,2058,13.92
Neuchatel,RCP26,2059,13.56
Neuchatel,RCP26,2060,13.42
Neuchatel,RCP26,2061,14.37
Neuchatel,RCP26,2062,14.25
Neuchatel,RCP26,2063,13.83
Neuchatel,RCP26,2064,14.3
Neuchatel,RCP26,2065,14.43
Neuchatel,RCP26,2066,14.03
Neuchatel,RCP26,2067,14.15
Neuchatel,RCP26,2068,14.38
Neuchatel,RCP26,2069,13.93
Neuchatel,RCP26,2070,13.87
Neuchatel,RCP26,2071,13.95
Neuchatel,RCP26,2072,13.8
Neuchatel,RCP26,2073,14.99
Neuchatel,RCP26,2074,14.78
Neuchatel,RCP26,2075,13.7
Neuchatel,RCP26,2076,13.98
Neuchatel,RCP26,2077,14.25
Neuchatel,RCP26,2078,14.13
Neuchatel,RCP26,2079,14.5
Neuchatel,RCP26,2080,13.87
Neuchatel,RCP26,2081,14.58
Neuchatel,RCP26,2082,15.1
Neuchatel,RCP26,2083,14.21
