See,Szenario,Jahr,Temperatur
Oeschinensee,RCP26,1981,8.92
Oeschinensee,RCP26,1982,9.13
Oeschinensee,RCP26,1983,8.9
Oeschinensee,RCP26,1984,8.12
Oeschinensee,RCP26,1985,8.66
Oeschinensee,RCP26,1986,9.64
Oeschinensee,RCP26,1987,8.83
Oeschinensee,RCP26,1988,8.88
Oeschinensee,RCP26,1989,9.2
Oeschinensee,RCP26,1990,9.27
Oeschinensee,RCP26,1991,8.78
Oeschinensee,RCP26,1992,9.14
Oeschinensee,RCP26,1993,9.73
Oeschinensee,RCP26,1994,8.17
Oeschinensee,RCP26,1995,9.76
Oeschinensee,RCP26,1996,9.22
Oeschinensee,RCP26,1997,9.3
Oeschinensee,RCP26,1998,8.64
Oeschinensee,RCP26,1999,9.53
Oeschinensee,RCP26,2000,9.8
Oeschinensee,RCP26,2001,9.41
Oeschinensee,RCP26,2002,9.25
Oeschinensee,RCP26,2003,9.45
Oeschinensee,RCP26,2004,9.68
Oeschinensee,RCP26,2005,9.58
Oeschinensee,RCP26,2006,10.07
Oeschinensee,RCP26,2007,8.78
Oeschinensee,RCP26,2008,8.95
Oeschinensee,RCP26,2009,9.97
Oeschinensee,RCP26,2010,10.21
Oeschinensee,RCP26,2011,9.14
Oeschinensee,RCP26,2012,8.67
Oeschinensee,RCP26,2013,10.21
Oeschinensee,RCP26,2014,9.97
Oeschinensee,RCP26,2015,9.8
Oeschinensee,RCP26,2016,9.29
Oeschinensee,RCP26,2017,9.22
Oeschinensee,RCP26,2018,9.64
Oeschinensee,RCP26,2019,9.89
Oeschinensee,RCP26,2020,9.92
Oeschinensee,RCP26,2021,10.0
Oeschinensee,RCP26,2022,10.16
Oeschinensee,RCP26,2023,10.62
Oeschinensee,RCP26,2024,10.5
Oeschinensee,RCP26,2025,10.4
Oeschinensee,RCP26,2026,9.96
Oeschinensee,RCP26,2027,9.93
Oeschinensee,RCP26,2028,9.98
Oeschinensee,RCP26,2029,9.86
Oeschinensee,RCP26,2030,9.57
Oeschinensee,RCP26,2031,10.04
Oeschinensee,RCP26,2032,10.35
Oeschinensee,RCP26,2033,10.77
Oeschinensee,RCP26,2034,10.64
Oeschinensee,RCP26,2035,10.35
Oeschinensee,RCP26,2036,9.97
Oeschinensee,RCP26,2037,10.9
Oeschinensee,RCP26,2038,10.29
Oeschinensee,RCP26,2039,10.3
Oeschinensee,RCP26,2040,11.18
Oeschinensee,RCP26,2041,10.72
Oeschinensee,RCP26,2042,9.87
Oeschinensee,RCP26,2043,9.98
Oeschinensee,RCP26,2044,10.49
Oeschinensee,RCP26,2045,10.47
Oeschinensee,RCP26,2046,10.15
Oeschinensee,RCP26,2047,11.01
Oeschinensee,RCP26,2048,10.59
Oeschinensee,RCP26,2049,10.95
Oeschinensee,RCP26,2050,10.55
Oeschinensee,RCP26,2051,10.36
Oeschinensee,RCP26,2052,10.52
Oeschinensee,RCP26,2053,10.27
Oeschinensee,RCP26,2054,10.99
Oeschinensee,RCP26,2055,10.41
Oeschinensee,RCP26,2056,11.12
Oeschinensee,RCP26,2057,10.98
Oeschinensee,RCP26,2058,10.25
Oeschinensee,RCP26,2059,9.92
Oeschinensee,RCP26,2060,9.6
Oeschinensee,RCP26,2061,10.4
Oeschinensee,RCP26,2062,10.36
Oeschinensee,RCP26,2063,10.31
Oeschinensee,RCP26,2064,10.33
Oeschinensee,RCP26,2065,11.01
Oeschinensee,RCP26,2066,10.27
Oeschinensee,RCP26,2067,10.34
Oeschinensee,RCP26,2068,10.69
Oeschinensee,RCP26,2069,10.27
Oeschinensee,RCP26,2070,10.2
Oeschinensee,RCP26,2071,10.33
Oeschinensee,RCP26,2072,9.94
Oeschinensee,RCP26,2073,11.29
Oeschinensee,RCP26,2074,11.03
Oeschinensee,RCP26,2075,9.67
Oeschinensee,RCP26,2076,10.38
Oeschinensee,RCP26,2077,9.92
Oeschinensee,RCP26,2078,10.75
Oeschinensee,RCP26,2079,10.84
Oeschinensee,RCP26,2080,10.09
Oeschinensee,RCP26,2081,10.79
Oeschinensee,RCP26,2082,11.34
Oeschinensee,RCP26,2083,11.04
Oeschinensee,RCP26,2084,10.73
Oeschinensee,RCP26,2085,10.86
Oeschinensee,RCP26,2086,10.16
Oeschinensee,RCP26,2087,10.3
Oeschinensee,RCP26,2088,11.11
Oeschinensee,RCP26,2089,9.71
Oeschinensee,RCP26,2090,11.02
Oeschinensee,RCP26,2091,10.62
Oeschinensee,RCP26,2092,10.02
Oeschinensee,RCP26,2093,9.9
Oeschinensee,RCP26,2094,10.3
Oeschinensee,RCP26,2095,10.23
Oeschinensee,RCP26,2096,10.29
Oeschinensee,RCP26,2097,10.12
Oeschinensee,RCP26,2098,10.09
Oeschinensee,RCP26,2099,10.65
Oeschinensee,RCP45,1981,8.97
Oeschinensee,RCP45,1982,9.11
Oeschinensee,RCP45,1983,8.96
Oeschinensee,RCP45,1984,8.77
Oeschinensee,RCP45,1985,9.32
Oeschinensee,RCP45,1986,9.71
Oeschinensee,RCP45,1987,8.9
Oeschinensee,RCP45,1988,8.89
Oeschinensee,RCP45,1989,9.22
Oeschinensee,RCP45,1990,9.36
Oeschinensee,RCP45,1991,8.78
Oeschinensee,RCP45,1992,9.16
Oeschinensee,RCP45,1993,9.74
Oeschinensee,RCP45,1994,8.35
Oeschinensee,RCP45,1995,9.45
Oeschinensee,RCP45,1996,9.29
Oeschinensee,RCP45,1997,9.47
Oeschinensee,RCP45,1998,8.82
Oeschinensee,RCP45,1999,9.15
Oeschinensee,RCP45,2000,10.0
Oeschinensee,RCP45,2001,9.42
Oeschinensee,RCP45,2002,9.29
Oeschinensee,RCP45,2003,9.51
Oeschinensee,RCP45,2004,10.09
Oeschinensee,RCP45,2005,9.59
Oeschinensee,RCP45,2006,9.18
Oeschinensee,RCP45,2007,9.82
Oeschinensee,RCP45,2008,9.51
Oeschinensee,RCP45,2009,9.54
Oeschinensee,RCP45,2010,8.94
Oeschinensee,RCP45,2011,10.25
Oeschinensee,RCP45,2012,10.05
Oeschinensee,RCP45,2013,9.67
Oeschinensee,RCP45,2014,9.95
Oeschinensee,RCP45,2015,9.59
Oeschinensee,RCP45,2016,10.39
Oeschinensee,RCP45,2017,9.32
Oeschinensee,RCP45,2018,9.81
Oeschinensee,RCP45,2019,9.59
Oeschinensee,RCP45,2020,10.69
Oeschinensee,RCP45,2021,9.65
Oeschinensee,RCP45,2022,9.71
Oeschinensee,RCP45,2023,10.11
Oeschinensee,RCP45,2024,9.93
Oeschinensee,RCP45,2025,10.82
Oeschinensee,RCP45,2026,10.56
Oeschinensee,RCP45,2027,10.34
Oeschinensee,RCP45,2028,10.01
Oeschinensee,RCP45,2029,9.78
Oeschinensee,RCP45,2030,9.69
Oeschinensee,RCP45,2031,9.88
Oeschinensee,RCP45,2032,10.9
Oeschinensee,RCP45,2033,10.36
Oeschinensee,RCP45,2034,10.63
Oeschinensee,RCP45,2035,10.0
Oeschinensee,RCP45,2036,10.54
Oeschinensee,RCP45,2037,10.18
Oeschinensee,RCP45,2038,11.66
Oeschinensee,RCP45,2039,11.09
Oeschinensee,RCP45,2040,10.7
Oeschinensee,RCP45,2041,10.26
Oeschinensee,RCP45,2042,10.78
Oeschinensee,RCP45,2043,9.97
Oeschinensee,RCP45,2044,11.54
Oeschinensee,RCP45,2045,10.43
Oeschinensee,RCP45,2046,11.3
Oeschinensee,RCP45,2047,10.62
Oeschinensee,RCP45,2048,10.86
Oeschinensee,RCP45,2049,10.57
Oeschinensee,RCP45,2050,10.47
Oeschinensee,RCP45,2051,11.13
Oeschinensee,RCP45,2052,10.0
Oeschinensee,RCP45,2053,11.07
Oeschinensee,RCP45,2054,10.72
Oeschinensee,RCP45,2055,11.34
Oeschinensee,RCP45,2056,12.09
Oeschinensee,RCP45,2057,11.27
Oeschinensee,RCP45,2058,10.51
Oeschinensee,RCP45,2059,11.52
Oeschinensee,RCP45,2060,11.26
Oeschinensee,RCP45,2061,11.37
Oeschinensee,RCP45,2062,12.2
Oeschinensee,RCP45,2063,11.26
Oeschinensee,RCP45,2064,11.35
Oeschinensee,RCP45,2065,11.4
Oeschinensee,RCP45,2066,11.41
Oeschinensee,RCP45,2067,12.38
Oeschinensee,RCP45,2068,10.96
Oeschinensee,RCP45,2069,11.73
Oeschinensee,RCP45,2070,11.5
Oeschinensee,RCP45,2071,10.97
Oeschinensee,RCP45,2072,12.63
Oeschinensee,RCP45,2073,11.51
Oeschinensee,RCP45,2074,11.72
Oeschinensee,RCP45,2075,11.09
Oeschinensee,RCP45,2076,11.1
Oeschinensee,RCP45,2077,10.81
Oeschinensee,RCP45,2078,11.8
Oeschinensee,RCP45,2079,12.07
Oeschinensee,RCP45,2080,12.83
Oeschinensee,RCP45,2081,12.52
Oeschinensee,RCP45,2082,11.43
Oeschinensee,RCP45,2083,11.81
Oeschinensee,RCP45,2084,10.86
Oeschinensee,RCP45,2085,11.54
Oeschinensee,RCP45,2086,11.3
Oeschinensee,RCP45,2087,12.04
Oeschinensee,RCP45,2088,11.45
Oeschinensee,RCP45,2089,11.71
Oeschinensee,RCP45,2090,11.83
Oeschinensee,RCP45,2091,11.62
Oeschinensee,RCP45,2092,11.94
Oeschinensee,RCP45,2093,11.78
Oeschinensee,RCP45,2094,11.96
Oeschinensee,RCP45,2095,11.18
Oeschinensee,RCP45,2096,11.15
Oeschinensee,RCP45,2097,11.53
Oeschinensee,RCP45,2098,11.16
Oeschinensee,RCP45,2099,12.45
Oeschinensee,RCP85,1981,8.96
Oeschinensee,RCP85,1982,9.11
Oeschinensee,RCP85,1983,9.09
Oeschinensee,RCP85,1984,8.79
Oeschinensee,RCP85,1985,9.32
Oeschinensee,RCP85,1986,9.64
Oeschinensee,RCP85,1987,8.94
Oeschinensee,RCP85,1988,9.07
Oeschinensee,RCP85,1989,9.19
Oeschinensee,RCP85,1990,9.28
Oeschinensee,RCP85,1991,9.01
Oeschinensee,RCP85,1992,9.14
Oeschinensee,RCP85,1993,9.71
Oeschinensee,RCP85,1994,8.98
Oeschinensee,RCP85,1995,9.44
Oeschinensee,RCP85,1996,9.64
Oeschinensee,RCP85,1997,9.47
Oeschinensee,RCP85,1998,9.74
Oeschinensee,RCP85,1999,9.16
Oeschinensee,RCP85,2000,10.01
Oeschinensee,RCP85,2001,9.98
Oeschinensee,RCP85,2002,9.27
Oeschinensee,RCP85,2003,9.62
Oeschinensee,RCP85,2004,10.11
Oeschinensee,RCP85,2005,9.58
Oeschinensee,RCP85,2006,9.75
Oeschinensee,RCP85,2007,10.03
Oeschinensee,RCP85,2008,9.84
Oeschinensee,RCP85,2009,9.63
Oeschinensee,RCP85,2010,10.17
Oeschinensee,RCP85,2011,9.58
Oeschinensee,RCP85,2012,10.0
Oeschinensee,RCP85,2013,9.51
Oeschinensee,RCP85,2014,10.11
Oeschinensee,RCP85,2015,10.23
Oeschinensee,RCP85,2016,9.64
Oeschinensee,RCP85,2017,10.39
Oeschinensee,RCP85,2018,10.6
Oeschinensee,RCP85,2019,10.91
Oeschinensee,RCP85,2020,10.11
Oeschinensee,RCP85,2021,10.51
Oeschinensee,RCP85,2022,9.99
Oeschinensee,RCP85,2023,10.38
Oeschinensee,RCP85,2024,10.55
Oeschinensee,RCP85,2025,10.91
Oeschinensee,RCP85,2026,10.57
Oeschinensee,RCP85,2027,10.14
Oeschinensee,RCP85,2028,10.5
Oeschinensee,RCP85,2029,11.16
Oeschinensee,RCP85,2030,10.37
Oeschinensee,RCP85,2031,10.43
Oeschinensee,RCP85,2032,10.6
Oeschinensee,RCP85,2033,10.65
Oeschinensee,RCP85,2034,10.85
Oeschinensee,RCP85,2035,10.91
Oeschinensee,RCP85,2036,10.5
Oeschinensee,RCP85,2037,10.59
Oeschinensee,RCP85,2038,11.38
Oeschinensee,RCP85,2039,11.23
Oeschinensee,RCP85,2040,10.9
Oeschinensee,RCP85,2041,11.74
Oeschinensee,RCP85,2042,11.88
Oeschinensee,RCP85,2043,11.22
Oeschinensee,RCP85,2044,11.81
Oeschinensee,RCP85,2045,10.72
Oeschinensee,RCP85,2046,10.91
Oeschinensee,RCP85,2047,10.88
Oeschinensee,RCP85,2048,11.28
Oeschinensee,RCP85,2049,11.79
Oeschinensee,RCP85,2050,11.76
Oeschinensee,RCP85,2051,12.22
Oeschinensee,RCP85,2052,11.73
Oeschinensee,RCP85,2053,11.63
Oeschinensee,RCP85,2054,11.78
Oeschinensee,RCP85,2055,11.67
Oeschinensee,RCP85,2056,12.31
Oeschinensee,RCP85,2057,12.57
Oeschinensee,RCP85,2058,13.23
Oeschinensee,RCP85,2059,12.3
Oeschinensee,RCP85,2060,12.41
Oeschinensee,RCP85,2061,11.85
Oeschinensee,RCP85,2062,12.63
Oeschinensee,RCP85,2063,12.58
Oeschinensee,RCP85,2064,12.86
Oeschinensee,RCP85,2065,12.5
Oeschinensee,RCP85,2066,12.38
Oeschinensee,RCP85,2067,12.4
Oeschinensee,RCP85,2068,13.69
Oeschinensee,RCP85,2069,13.25
Oeschinensee,RCP85,2070,12.4
Oeschinensee,RCP85,2071,13.73
Oeschinensee,RCP85,2072,12.62
Oeschinensee,RCP85,2073,12.87
Oeschinensee,RCP85,2074,13.71
Oeschinensee,RCP85,2075,13.53
Oeschinensee,RCP85,2076,13.24
Oeschinensee,RCP85,2077,13.73
Oeschinensee,RCP85,2078,13.14
Oeschinensee,RCP85,2079,13.17
Oeschinensee,RCP85,2080,13.91
Oeschinensee,RCP85,2081,14.11
Oeschinensee,RCP85,2082,14.39
Oeschinensee,RCP85,2083,14.57
Oeschinensee,RCP85,2084,14.52
Oeschinensee,RCP85,2085,13.88
Oeschinensee,RCP85,2086,14.21
Oeschinensee,RCP85,2087,14.36
Oeschinensee,RCP85,2088,14.55
Oeschinensee,RCP85,2089,14.65
Oeschinensee,RCP85,2090,14.07
Oeschinensee,RCP85,2091,14.39
Oeschinensee,RCP85,2092,14.81
Oeschinensee,RCP85,2093,14.8
Oeschinensee,RCP85,2094,14.66
Oeschinensee,RCP85,2095,14.43
Oeschinensee,RCP85,2096,14.38
Oeschinensee,RCP85,2097,14.79
Oeschinensee,RCP85,2098,15.24
Oeschinensee,RCP85,2099,14.8
