See,Szenario,Jahr,Temperatur
Pfaffikon,RCP26,1981,11.23
Pfaffikon,RCP26,1982,11.22
Pfaffikon,RCP26,1983,11.35
Pfaffikon,RCP26,1984,10.58
Pfaffikon,RCP26,1985,11.12
Pfaffikon,RCP26,1986,11.45
Pfaffikon,RCP26,1987,10.71
Pfaffikon,RCP26,1988,10.91
Pfaffikon,RCP26,1989,11.22
Pfaffikon,RCP26,1990,11.08
Pfaffikon,RCP26,1991,10.93
Pfaffikon,RCP26,1992,11.62
Pfaffikon,RCP26,1993,11.77
Pfaffikon,RCP26,1994,10.68
Pfaffikon,RCP26,1995,11.33
Pfaffikon,RCP26,1996,11.08
Pfaffikon,RCP26,1997,11.75
Pfaffikon,RCP26,1998,10.87
Pfaffikon,RCP26,1999,11.32
Pfaffikon,RCP26,2000,11.78
Pfaffikon,RCP26,2001,11.08
Pfaffikon,RCP26,2002,11.26
Pfaffikon,RCP26,2003,11.44
Pfaffikon,RCP26,2004,11.68
Pfaffikon,RCP26,2005,11.52
Pfaffikon,RCP26,2006,11.62
Pfaffikon,RCP26,2007,10.92
Pfaffikon,RCP26,2008,11.36
Pfaffikon,RCP26,2009,11.56
Pfaffikon,RCP26,2010,11.69
Pfaffikon,RCP26,2011,11.26
Pfaffikon,RCP26,2012,11.46
Pfaffikon,RCP26,2013,11.82
Pfaffikon,RCP26,2014,11.97
Pfaffikon,RCP26,2015,11.3
Pfaffikon,RCP26,2016,11.06
Pfaffikon,RCP26,2017,11.85
Pfaffikon,RCP26,2018,11.57
Pfaffikon,RCP26,2019,11.36
Pfaffikon,RCP26,2020,12.15
Pfaffikon,RCP26,2021,11.51
Pfaffikon,RCP26,2022,11.81
Pfaffikon,RCP26,2023,12.31
Pfaffikon,RCP26,2024,12.44
Pfaffikon,RCP26,2025,11.98
Pfaffikon,RCP26,2026,12.29
Pfaffikon,RCP26,2027,11.67
Pfaffikon,RCP26,2028,12.02
Pfaffikon,RCP26,2029,11.4
Pfaffikon,RCP26,2030,11.31
Pfaffikon,RCP26,2031,11.62
Pfaffikon,RCP26,2032,11.63
Pfaffikon,RCP26,2033,12.25
Pfaffikon,RCP26,2034,12.18
Pfaffikon,RCP26,2035,12.15
Pfaffikon,RCP26,2036,11.7
Pfaffikon,RCP26,2037,13.16
Pfaffikon,RCP26,2038,12.11
Pfaffikon,RCP26,2039,12.13
Pfaffikon,RCP26,2040,12.71
Pfaffikon,RCP26,2041,12.38
Pfaffikon,RCP26,2042,11.54
Pfaffikon,RCP26,2043,11.57
Pfaffikon,RCP26,2044,12.16
Pfaffikon,RCP26,2045,12.36
Pfaffikon,RCP26,2046,12.24
Pfaffikon,RCP26,2047,12.58
Pfaffikon,RCP26,2048,12.33
Pfaffikon,RCP26,2049,12.61
Pfaffikon,RCP26,2050,12.08
Pfaffikon,RCP26,2051,11.98
Pfaffikon,RCP26,2052,12.13
Pfaffikon,RCP26,2053,12.26
Pfaffikon,RCP26,2054,12.03
Pfaffikon,RCP26,2055,12.2
Pfaffikon,RCP26,2056,12.65
Pfaffikon,RCP26,2057,12.98
Pfaffikon,RCP26,2058,11.86
Pfaffikon,RCP26,2059,11.63
Pfaffikon,RCP26,2060,11.34
Pfaffikon,RCP26,2061,12.6
Pfaffikon,RCP26,2062,12.28
Pfaffikon,RCP26,2063,12.04
Pfaffikon,RCP26,2064,11.99
Pfaffikon,RCP26,2065,12.27
Pfaffikon,RCP26,2066,11.66
Pfaffikon,RCP26,2067,12.06
