See,Szenario,Jahr,Temperatur
Poschiavo,RCP26,1981,8.77
Poschiavo,RCP26,1982,9.3
Poschiavo,RCP26,1983,9.07
Poschiavo,RCP26,1984,8.66
Poschiavo,RCP26,1985,8.75
Poschiavo,RCP26,1986,9.84
Poschiavo,RCP26,1987,8.88
Poschiavo,RCP26,1988,9.25
Poschiavo,RCP26,1989,9.37
Poschiavo,RCP26,1990,9.5
Poschiavo,RCP26,1991,9.05
Poschiavo,RCP26,1992,9.71
Poschiavo,RCP26,1993,9.29
Poschiavo,RCP26,1994,8.79
Poschiavo,RCP26,1995,9.77
Poschiavo,RCP26,1996,9.32
Poschiavo,RCP26,1997,9.75
Poschiavo,RCP26,1998,8.63
Poschiavo,RCP26,1999,10.07
Poschiavo,RCP26,2000,9.89
Poschiavo,RCP26,2001,9.42
Poschiavo,RCP26,2002,9.41
Poschiavo,RCP26,2003,9.28
Poschiavo,RCP26,2004,9.49
Poschiavo,RCP26,2005,9.78
Poschiavo,RCP26,2006,9.84
Poschiavo,RCP26,2007,9.06
Poschiavo,RCP26,2008,9.58
Poschiavo,RCP26,2009,9.55
Poschiavo,RCP26,2010,10.16
Poschiavo,RCP26,2011,9.53
Poschiavo,RCP26,2012,9.37
Poschiavo,RCP26,2013,10.02
Poschiavo,RCP26,2014,10.84
Poschiavo,RCP26,2015,10.05
Poschiavo,RCP26,2016,9.26
Poschiavo,RCP26,2017,10.05
Poschiavo,RCP26,2018,9.76
Poschiavo,RCP26,2019,9.81
Poschiavo,RCP26,2020,10.2
Poschiavo,RCP26,2021,10.42
Poschiavo,RCP26,2022,10.14
Poschiavo,RCP26,2023,10.48
Poschiavo,RCP26,2024,10.77
Poschiavo,RCP26,2025,10.49
Poschiavo,RCP26,2026,9.95
Poschiavo,RCP26,2027,10.05
Poschiavo,RCP26,2028,10.39
Poschiavo,RCP26,2029,9.78
Poschiavo,RCP26,2030,9.84
Poschiavo,RCP26,2031,10.36
Poschiavo,RCP26,2032,10.55
Poschiavo,RCP26,2033,10.57
Poschiavo,RCP26,2034,10.38
Poschiavo,RCP26,2035,10.73
Poschiavo,RCP26,2036,10.17
Poschiavo,RCP26,2037,10.51
Poschiavo,RCP26,2038,10.69
Poschiavo,RCP26,2039,9.95
Poschiavo,RCP26,2040,11.33
Poschiavo,RCP26,2041,10.52
Poschiavo,RCP26,2042,10.14
Poschiavo,RCP26,2043,9.95
Poschiavo,RCP26,2044,10.33
Poschiavo,RCP26,2045,10.6
Poschiavo,RCP26,2046,10.06
Poschiavo,RCP26,2047,11.38
Poschiavo,RCP26,2048,10.76
Poschiavo,RCP26,2049,11.06
Poschiavo,RCP26,2050,10.97
Poschiavo,RCP26,2051,10.74
Poschiavo,RCP26,2052,10.53
Poschiavo,RCP26,2053,10.23
Poschiavo,RCP26,2054,10.82
Poschiavo,RCP26,2055,10.65
Poschiavo,RCP26,2056,10.63
Poschiavo,RCP26,2057,11.01
Poschiavo,RCP26,2058,10.22
Poschiavo,RCP26,2059,9.98
Poschiavo,RCP26,2060,10.18
Poschiavo,RCP26,2061,10.3
Poschiavo,RCP26,2062,10.41
Poschiavo,RCP26,2063,10.22
Poschiavo,RCP26,2064,10.93
Poschiavo,RCP26,2065,10.73
Poschiavo,RCP26,2066,10.66
Poschiavo,RCP26,2067,10.3
Poschiavo,RCP26,2068,10.95
Poschiavo,RCP26,2069,10.45
Poschiavo,RCP26,2070,10.15
Poschiavo,RCP26,2071,10.4
Poschiavo,RCP26,2072,9.9
Poschiavo,RCP26,2073,11.19
Poschiavo,RCP26,2074,11.26
Poschiavo,RCP26,2075,10.1
Poschiavo,RCP26,2076,9.94
Poschiavo,RCP26,2077,10.39
Poschiavo,RCP26,2078,11.08
Poschiavo,RCP26,2079,10.7
Poschiavo,RCP26,2080,10.39
Poschiavo,RCP26,2081,10.81
Poschiavo,RCP26,2082,11.26
Poschiavo,RCP26,2083,10.71
Poschiavo,RCP26,2084,10.62
Poschiavo,RCP26,2085,11.13
Poschiavo,RCP26,2086,10.47
Poschiavo,RCP26,2087,10.42
Poschiavo,RCP26,2088,10.86
Poschiavo,RCP26,2089,9.91
Poschiavo,RCP26,2090,11.07
Poschiavo,RCP26,2091,10.57
Poschiavo,RCP26,2092,10.53
Poschiavo,RCP26,2093,10.61
Poschiavo,RCP26,2094,10.09
Poschiavo,RCP26,2095,10.53
Poschiavo,RCP26,2096,9.97
Poschiavo,RCP26,2097,10.44
Poschiavo,RCP26,2098,10.44
Poschiavo,RCP26,2099,10.55
Poschiavo,RCP45,1981,8.78
Poschiavo,RCP45,1982,9.38
Poschiavo,RCP45,1983,9.03
Poschiavo,RCP45,1984,8.65
Poschiavo,RCP45,1985,8.78
Poschiavo,RCP45,1986,9.9
