See,Szenario,Jahr,Temperatur
Rot,RCP26,1981,13.42
Rot,RCP26,1982,13.25
Rot,RCP26,1983,13.0
Rot,RCP26,1984,12.2
Rot,RCP26,1985,13.22
Rot,RCP26,1986,13.4
Rot,RCP26,1987,12.61
Rot,RCP26,1988,12.86
Rot,RCP26,1989,13.51
Rot,RCP26,1990,12.94
Rot,RCP26,1991,12.79
Rot,RCP26,1992,13.61
Rot,RCP26,1993,13.67
Rot,RCP26,1994,12.63
Rot,RCP26,1995,13.64
Rot,RCP26,1996,12.98
Rot,RCP26,1997,13.54
Rot,RCP26,1998,13.15
Rot,RCP26,1999,13.25
Rot,RCP26,2000,13.81
Rot,RCP26,2001,13.13
Rot,RCP26,2002,13.14
Rot,RCP26,2003,13.75
Rot,RCP26,2004,13.66
Rot,RCP26,2005,13.56
Rot,RCP26,2006,13.92
Rot,RCP26,2007,13.02
Rot,RCP26,2008,13.21
Rot,RCP26,2009,13.81
Rot,RCP26,2010,13.98
Rot,RCP26,2011,13.18
Rot,RCP26,2012,13.39
Rot,RCP26,2013,14.0
Rot,RCP26,2014,14.2
Rot,RCP26,2015,13.37
Rot,RCP26,2016,13.07
Rot,RCP26,2017,13.82
Rot,RCP26,2018,13.51
Rot,RCP26,2019,13.6
Rot,RCP26,2020,14.1
Rot,RCP26,2021,13.63
Rot,RCP26,2022,13.87
Rot,RCP26,2023,14.69
Rot,RCP26,2024,14.6
Rot,RCP26,2025,13.9
Rot,RCP26,2026,14.24
Rot,RCP26,2027,13.83
Rot,RCP26,2028,14.31
Rot,RCP26,2029,13.39
Rot,RCP26,2030,13.64
Rot,RCP26,2031,13.95
Rot,RCP26,2032,14.11
Rot,RCP26,2033,14.57
Rot,RCP26,2034,14.36
Rot,RCP26,2035,14.56
Rot,RCP26,2036,13.75
Rot,RCP26,2037,15.17
Rot,RCP26,2038,14.34
Rot,RCP26,2039,14.15
Rot,RCP26,2040,14.96
Rot,RCP26,2041,14.37
Rot,RCP26,2042,13.6
Rot,RCP26,2043,13.79
Rot,RCP26,2044,14.33
Rot,RCP26,2045,14.48
Rot,RCP26,2046,14.27
Rot,RCP26,2047,15.05
Rot,RCP26,2048,14.48
Rot,RCP26,2049,14.65
Rot,RCP26,2050,14.6
Rot,RCP26,2051,14.22
Rot,RCP26,2052,14.37
Rot,RCP26,2053,14.38
Rot,RCP26,2054,14.63
Rot,RCP26,2055,14.53
Rot,RCP26,2056,15.04
Rot,RCP26,2057,14.9
Rot,RCP26,2058,14.13
Rot,RCP26,2059,13.93
Rot,RCP26,2060,13.46
Rot,RCP26,2061,14.41
Rot,RCP26,2062,14.33
Rot,RCP26,2063,14.27
Rot,RCP26,2064,14.04
Rot,RCP26,2065,14.51
Rot,RCP26,2066,14.16
Rot,RCP26,2067,14.27
Rot,RCP26,2068,14.71
Rot,RCP26,2069,14.13
Rot,RCP26,2070,14.11
Rot,RCP26,2071,14.59
Rot,RCP26,2072,14.07
Rot,RCP26,2073,15.56
Rot,RCP26,2074,14.62
Rot,RCP26,2075,13.77
Rot,RCP26,2076,14.26
Rot,RCP26,2077,14.52
Rot,RCP26,2078,14.47
Rot,RCP26,2079,14.79
Rot,RCP26,2080,14.07
Rot,RCP26,2081,14.98
Rot,RCP26,2082,15.94
Rot,RCP26,2083,14.46
Rot,RCP26,2084,14.34
Rot,RCP26,2085,14.68
Rot,RCP26,2086,14.07
Rot,RCP26,2087,14.52
Rot,RCP26,2088,14.75
Rot,RCP26,2089,13.67
Rot,RCP26,2090,14.87
Rot,RCP26,2091,14.77
Rot,RCP26,2092,14.06
Rot,RCP26,2093,14.05
Rot,RCP26,2094,14.13
Rot,RCP26,2095,13.98
Rot,RCP26,2096,14.15
Rot,RCP26,2097,14.0
Rot,RCP26,2098,13.99
Rot,RCP26,2099,14.54
Rot,RCP45,1981,13.48
Rot,RCP45,1982,13.06
Rot,RCP45,1983,13.03
Rot,RCP45,1984,12.44
Rot,RCP45,1985,13.24
Rot,RCP45,1986,13.45
Rot,RCP45,1987,12.76
Rot,RCP45,1988,12.93
Rot,RCP45,1989,13.53
Rot,RCP45,1990,13.01
Rot,RCP45,1991,12.76
Rot,RCP45,1992,13.66
Rot,RCP45,1993,13.69
Rot,RCP45,1994,12.64
Rot,RCP45,1995,13.4
Rot,RCP45,1996,13.05
Rot,RCP45,1997,14.13
Rot,RCP45,1998,13.18
Rot,RCP45,1999,13.29
Rot,RCP45,2000,13.62
Rot,RCP45,2001,13.17
Rot,RCP45,2002,13.19
Rot,RCP45,2003,13.18
Rot,RCP45,2004,13.71
Rot,RCP45,2005,13.62
Rot,RCP45,2006,13.22
Rot,RCP45,2007,13.78
Rot,RCP45,2008,13.08
Rot,RCP45,2009,13.26
Rot,RCP45,2010,12.69
Rot,RCP45,2011,14.16
Rot,RCP45,2012,13.85
Rot,RCP45,2013,13.6
Rot,RCP45,2014,14.03
Rot,RCP45,2015,13.78
Rot,RCP45,2016,14.33
Rot,RCP45,2017,13.11
Rot,RCP45,2018,13.79
Rot,RCP45,2019,13.47
Rot,RCP45,2020,14.75
Rot,RCP45,2021,13.77
Rot,RCP45,2022,13.9
Rot,RCP45,2023,14.06
Rot,RCP45,2024,13.3
Rot,RCP45,2025,14.33
Rot,RCP45,2026,14.62
Rot,RCP45,2027,14.08
Rot,RCP45,2028,14.13
Rot,RCP45,2029,13.9
Rot,RCP45,2030,13.77
Rot,RCP45,2031,13.55
Rot,RCP45,2032,14.47
Rot,RCP45,2033,14.8
Rot,RCP45,2034,14.43
Rot,RCP45,2035,13.64
Rot,RCP45,2036,14.41
Rot,RCP45,2037,13.95
Rot,RCP45,2038,14.95
Rot,RCP45,2039,15.36
Rot,RCP45,2040,14.5
Rot,RCP45,2041,14.38
Rot,RCP45,2042,14.61
Rot,RCP45,2043,13.82
Rot,RCP45,2044,15.52
Rot,RCP45,2045,14.31
Rot,RCP45,2046,14.68
Rot,RCP45,2047,14.19
Rot,RCP45,2048,14.61
Rot,RCP45,2049,14.71
Rot,RCP45,2050,14.64
Rot,RCP45,2051,14.96
Rot,RCP45,2052,14.18
Rot,RCP45,2053,14.76
Rot,RCP45,2054,14.68
Rot,RCP45,2055,15.35
Rot,RCP45,2056,15.72
Rot,RCP45,2057,14.74
Rot,RCP45,2058,14.18
Rot,RCP45,2059,15.18
Rot,RCP45,2060,15.05
Rot,RCP45,2061,15.38
Rot,RCP45,2062,16.23
Rot,RCP45,2063,15.13
Rot,RCP45,2064,15.05
Rot,RCP45,2065,15.18
Rot,RCP45,2066,15.59
Rot,RCP45,2067,16.32
Rot,RCP45,2068,14.28
Rot,RCP45,2069,15.03
Rot,RCP45,2070,15.66
Rot,RCP45,2071,14.6
Rot,RCP45,2072,16.4
Rot,RCP45,2073,14.78
Rot,RCP45,2074,15.13
Rot,RCP45,2075,15.16
Rot,RCP45,2076,14.73
Rot,RCP45,2077,14.97
Rot,RCP45,2078,15.15
Rot,RCP45,2079,15.74
Rot,RCP45,2080,16.11
Rot,RCP45,2081,15.52
Rot,RCP45,2082,15.39
Rot,RCP45,2083,15.64
Rot,RCP45,2084,14.99
Rot,RCP45,2085,15.29
Rot,RCP45,2086,15.25
Rot,RCP45,2087,15.01
Rot,RCP45,2088,15.24
Rot,RCP45,2089,15.2
Rot,RCP45,2090,15.24
Rot,RCP45,2091,15.34
Rot,RCP45,2092,15.1
Rot,RCP45,2093,14.84
Rot,RCP45,2094,14.99
Rot,RCP45,2095,14.8
Rot,RCP45,2096,15.07
Rot,RCP45,2097,15.37
Rot,RCP45,2098,14.84
Rot,RCP45,2099,15.13
Rot,RCP85,1981,13.5
Rot,RCP85,1982,13.18
Rot,RCP85,1983,13.07
Rot,RCP85,1984,12.78
Rot,RCP85,1985,13.25
Rot,RCP85,1986,13.39
Rot,RCP85,1987,13.01
Rot,RCP85,1988,13.32
Rot,RCP85,1989,13.52
Rot,RCP85,1990,13.62
Rot,RCP85,1991,12.75
Rot,RCP85,1992,13.55
Rot,RCP85,1993,13.72
Rot,RCP85,1994,13.41
Rot,RCP85,1995,13.4
Rot,RCP85,1996,13.92
Rot,RCP85,1997,14.12
Rot,RCP85,1998,13.64
Rot,RCP85,1999,13.36
Rot,RCP85,2000,13.95
Rot,RCP85,2001,14.28
Rot,RCP85,2002,13.2
Rot,RCP85,2003,13.68
Rot,RCP85,2004,13.72
Rot,RCP85,2005,13.68
Rot,RCP85,2006,13.63
Rot,RCP85,2007,13.96
Rot,RCP85,2008,13.74
Rot,RCP85,2009,14.31
Rot,RCP85,2010,14.06
Rot,RCP85,2011,13.57
Rot,RCP85,2012,13.84
Rot,RCP85,2013,13.9
Rot,RCP85,2014,13.79
Rot,RCP85,2015,14.23
Rot,RCP85,2016,13.64
Rot,RCP85,2017,13.9
Rot,RCP85,2018,14.57
Rot,RCP85,2019,14.07
Rot,RCP85,2020,14.38
Rot,RCP85,2021,14.4
Rot,RCP85,2022,13.77
Rot,RCP85,2023,14.25
Rot,RCP85,2024,14.63
Rot,RCP85,2025,14.91
Rot,RCP85,2026,14.7
Rot,RCP85,2027,14.01
Rot,RCP85,2028,14.33
Rot,RCP85,2029,15.2
Rot,RCP85,2030,14.04
Rot,RCP85,2031,14.49
Rot,RCP85,2032,14.19
Rot,RCP85,2033,14.34
Rot,RCP85,2034,14.72
Rot,RCP85,2035,14.58
Rot,RCP85,2036,14.11
Rot,RCP85,2037,14.58
Rot,RCP85,2038,15.16
Rot,RCP85,2039,15.23
Rot,RCP85,2040,14.68
Rot,RCP85,2041,15.53
Rot,RCP85,2042,14.97
Rot,RCP85,2043,15.19
Rot,RCP85,2044,14.75
Rot,RCP85,2045,14.77
Rot,RCP85,2046,14.67
Rot,RCP85,2047,14.95
Rot,RCP85,2048,14.98
Rot,RCP85,2049,15.0
Rot,RCP85,2050,15.77
Rot,RCP85,2051,15.67
Rot,RCP85,2052,15.5
Rot,RCP85,2053,15.31
Rot,RCP85,2054,15.29
Rot,RCP85,2055,15.1
Rot,RCP85,2056,15.94
Rot,RCP85,2057,16.06
Rot,RCP85,2058,16.06
Rot,RCP85,2059,15.55
Rot,RCP85,2060,15.66
Rot,RCP85,2061,15.44
Rot,RCP85,2062,15.81
Rot,RCP85,2063,16.37
Rot,RCP85,2064,16.33
Rot,RCP85,2065,15.63
Rot,RCP85,2066,16.17
Rot,RCP85,2067,15.98
Rot,RCP85,2068,16.65
Rot,RCP85,2069,16.9
Rot,RCP85,2070,16.11
Rot,RCP85,2071,16.7
Rot,RCP85,2072,16.41
Rot,RCP85,2073,16.14
Rot,RCP85,2074,16.43
Rot,RCP85,2075,16.32
Rot,RCP85,2076,17.02
Rot,RCP85,2077,17.0
Rot,RCP85,2078,16.75
Rot,RCP85,2079,16.43
Rot,RCP85,2080,16.98
Rot,RCP85,2081,17.5
Rot,RCP85,2082,17.7
Rot,RCP85,2083,17.65
Rot,RCP85,2084,17.88
Rot,RCP85,2085,16.98
Rot,RCP85,2086,17.66
Rot,RCP85,2087,18.02
Rot,RCP85,2088,17.95
Rot,RCP85,2089,17.46
Rot,RCP85,2090,17.25
Rot,RCP85,2091,18.25
Rot,RCP85,2092,17.81
Rot,RCP85,2093,18.72
Rot,RCP85,2094,18.64
Rot,RCP85,2095,17.95
Rot,RCP85,2096,17.55
Rot,RCP85,2097,18.1
Rot,RCP85,2098,19.09
Rot,RCP85,2099,18.97
