See,Szenario,Jahr,Temperatur
Sils,RCP26,1981,7.56
Sils,RCP26,1982,7.49
Sils,RCP26,1983,7.65
Sils,RCP26,1984,7.0
Sils,RCP26,1985,7.95
Sils,RCP26,1986,7.49
Sils,RCP26,1987,7.3
Sils,RCP26,1988,7.52
Sils,RCP26,1989,8.02
Sils,RCP26,1990,7.51
Sils,RCP26,1991,7.64
Sils,RCP26,1992,8.0
Sils,RCP26,1993,8.35
Sils,RCP26,1994,7.42
Sils,RCP26,1995,8.11
Sils,RCP26,1996,7.59
Sils,RCP26,1997,7.44
Sils,RCP26,1998,7.61
Sils,RCP26,1999,7.85
Sils,RCP26,2000,8.43
Sils,RCP26,2001,7.8
Sils,RCP26,2002,8.19
Sils,RCP26,2003,7.68
Sils,RCP26,2004,7.68
Sils,RCP26,2005,8.13
Sils,RCP26,2006,8.98
Sils,RCP26,2007,7.75
Sils,RCP26,2008,7.92
Sils,RCP26,2009,7.95
Sils,RCP26,2010,8.69
Sils,RCP26,2011,7.93
Sils,RCP26,2012,8.37
Sils,RCP26,2013,8.84
Sils,RCP26,2014,8.59
Sils,RCP26,2015,7.9
Sils,RCP26,2016,7.42
Sils,RCP26,2017,8.36
Sils,RCP26,2018,8.6
Sils,RCP26,2019,8.21
Sils,RCP26,2020,8.64
Sils,RCP26,2021,8.19
Sils,RCP26,2022,8.14
Sils,RCP26,2023,9.27
Sils,RCP26,2024,9.25
Sils,RCP26,2025,8.21
Sils,RCP26,2026,8.59
Sils,RCP26,2027,8.71
Sils,RCP26,2028,8.72
Sils,RCP26,2029,8.2
Sils,RCP26,2030,7.86
Sils,RCP26,2031,8.46
Sils,RCP26,2032,8.28
Sils,RCP26,2033,9.04
Sils,RCP26,2034,9.22
Sils,RCP26,2035,9.36
Sils,RCP26,2036,8.35
Sils,RCP26,2037,9.8
Sils,RCP26,2038,8.58
Sils,RCP26,2039,8.83
Sils,RCP26,2040,10.05
Sils,RCP26,2041,8.86
Sils,RCP26,2042,8.08
Sils,RCP26,2043,8.7
Sils,RCP26,2044,9.0
Sils,RCP26,2045,8.99
Sils,RCP26,2046,8.68
Sils,RCP26,2047,9.96
Sils,RCP26,2048,8.59
Sils,RCP26,2049,9.1
Sils,RCP26,2050,9.42
Sils,RCP26,2051,9.29
Sils,RCP26,2052,9.81
Sils,RCP26,2053,9.02
Sils,RCP26,2054,9.96
Sils,RCP26,2055,9.24
Sils,RCP26,2056,9.67
Sils,RCP26,2057,9.56
Sils,RCP26,2058,8.87
Sils,RCP26,2059,8.75
Sils,RCP26,2060,8.25
Sils,RCP26,2061,8.85
Sils,RCP26,2062,9.2
Sils,RCP26,2063,9.1
Sils,RCP26,2064,8.55
Sils,RCP26,2065,8.81
Sils,RCP26,2066,8.79
Sils,RCP26,2067,9.15
Sils,RCP26,2068,9.89
Sils,RCP26,2069,9.13
Sils,RCP26,2070,9.21
Sils,RCP26,2071,9.17
Sils,RCP26,2072,8.69
Sils,RCP26,2073,10.11
Sils,RCP26,2074,8.71
Sils,RCP26,2075,8.06
Sils,RCP26,2076,8.91
Sils,RCP26,2077,8.9
Sils,RCP26,2078,9.33
Sils,RCP26,2079,9.3
Sils,RCP26,2080,8.57
Sils,RCP26,2081,9.25
Sils,RCP26,2082,9.94
Sils,RCP26,2083,9.34
Sils,RCP26,2084,9.18
Sils,RCP26,2085,8.66
Sils,RCP26,2086,8.43
Sils,RCP26,2087,9.41
Sils,RCP26,2088,9.52
Sils,RCP26,2089,8.48
Sils,RCP26,2090,9.83
Sils,RCP26,2091,8.9
Sils,RCP26,2092,8.54
Sils,RCP26,2093,8.34
Sils,RCP26,2094,8.51
Sils,RCP26,2095,8.88
Sils,RCP26,2096,8.76
Sils,RCP26,2097,8.34
Sils,RCP26,2098,8.9
Sils,RCP26,2099,9.34
Sils,RCP45,1981,7.56
Sils,RCP45,1982,7.65
Sils,RCP45,1983,7.62
Sils,RCP45,1984,7.33
Sils,RCP45,1985,7.98
Sils,RCP45,1986,7.55
Sils,RCP45,1987,7.33
Sils,RCP45,1988,7.54
Sils,RCP45,1989,8.0
Sils,RCP45,1990,7.46
Sils,RCP45,1991,7.72
Sils,RCP45,1992,8.1
Sils,RCP45,1993,8.34
Sils,RCP45,1994,7.36
Sils,RCP45,1995,7.57
Sils,RCP45,1996,7.67
Sils,RCP45,1997,7.98
Sils,RCP45,1998,8.04
Sils,RCP45,1999,7.77
Sils,RCP45,2000,7.93
Sils,RCP45,2001,7.91
Sils,RCP45,2002,8.17
Sils,RCP45,2003,7.65
Sils,RCP45,2004,7.69
Sils,RCP45,2005,8.16
Sils,RCP45,2006,8.05
Sils,RCP45,2007,8.44
Sils,RCP45,2008,8.04
Sils,RCP45,2009,7.47
Sils,RCP45,2010,7.67
Sils,RCP45,2011,8.82
Sils,RCP45,2012,8.62
Sils,RCP45,2013,7.91
Sils,RCP45,2014,8.26
Sils,RCP45,2015,8.38
Sils,RCP45,2016,8.98
Sils,RCP45,2017,8.51
Sils,RCP45,2018,8.0
Sils,RCP45,2019,8.44
Sils,RCP45,2020,8.75
Sils,RCP45,2021,8.31
Sils,RCP45,2022,8.52
Sils,RCP45,2023,8.5
Sils,RCP45,2024,8.63
Sils,RCP45,2025,9.1
Sils,RCP45,2026,9.08
Sils,RCP45,2027,8.92
Sils,RCP45,2028,8.5
Sils,RCP45,2029,8.32
Sils,RCP45,2030,8.42
Sils,RCP45,2031,8.28
Sils,RCP45,2032,9.52
Sils,RCP45,2033,9.03
Sils,RCP45,2034,9.46
Sils,RCP45,2035,9.16
Sils,RCP45,2036,9.64
Sils,RCP45,2037,8.49
Sils,RCP45,2038,9.88
Sils,RCP45,2039,8.97
Sils,RCP45,2040,9.48
Sils,RCP45,2041,8.64
Sils,RCP45,2042,9.13
Sils,RCP45,2043,8.66
Sils,RCP45,2044,9.53
Sils,RCP45,2045,9.7
Sils,RCP45,2046,9.94
Sils,RCP45,2047,9.12
Sils,RCP45,2048,9.39
Sils,RCP45,2049,8.73
Sils,RCP45,2050,9.54
Sils,RCP45,2051,9.34
Sils,RCP45,2052,8.8
Sils,RCP45,2053,9.69
Sils,RCP45,2054,9.64
Sils,RCP45,2055,10.09
Sils,RCP45,2056,10.42
Sils,RCP45,2057,9.09
Sils,RCP45,2058,9.41
Sils,RCP45,2059,9.43
Sils,RCP45,2060,9.7
Sils,RCP45,2061,9.93
Sils,RCP45,2062,11.07
Sils,RCP45,2063,9.99
Sils,RCP45,2064,9.73
Sils,RCP45,2065,9.81
Sils,RCP45,2066,10.06
Sils,RCP45,2067,10.38
Sils,RCP45,2068,9.27
Sils,RCP45,2069,10.22
Sils,RCP45,2070,9.89
Sils,RCP45,2071,9.62
Sils,RCP45,2072,11.09
Sils,RCP45,2073,9.81
Sils,RCP45,2074,10.35
Sils,RCP45,2075,9.93
Sils,RCP45,2076,9.39
Sils,RCP45,2077,9.49
Sils,RCP45,2078,9.51
Sils,RCP45,2079,10.73
Sils,RCP45,2080,11.67
Sils,RCP45,2081,10.97
Sils,RCP45,2082,10.42
Sils,RCP45,2083,10.44
Sils,RCP45,2084,9.21
Sils,RCP45,2085,10.01
Sils,RCP45,2086,10.2
Sils,RCP45,2087,10.77
Sils,RCP45,2088,10.01
Sils,RCP45,2089,10.1
Sils,RCP45,2090,10.45
Sils,RCP45,2091,10.67
Sils,RCP45,2092,10.35
Sils,RCP45,2093,10.31
Sils,RCP45,2094,10.37
Sils,RCP45,2095,9.49
Sils,RCP45,2096,9.94
Sils,RCP45,2097,10.02
Sils,RCP45,2098,10.21
Sils,RCP45,2099,11.25
Sils,RCP85,1981,7.68
Sils,RCP85,1982,7.63
Sils,RCP85,1983,7.67
Sils,RCP85,1984,7.29
Sils,RCP85,1985,7.95
Sils,RCP85,1986,7.49
Sils,RCP85,1987,7.61
Sils,RCP85,1988,7.5
Sils,RCP85,1989,7.98
Sils,RCP85,1990,7.73
Sils,RCP85,1991,7.63
Sils,RCP85,1992,7.99
Sils,RCP85,1993,8.33
Sils,RCP85,1994,7.48
Sils,RCP85,1995,7.58
Sils,RCP85,1996,8.1
Sils,RCP85,1997,7.95
Sils,RCP85,1998,8.03
Sils,RCP85,1999,7.91
Sils,RCP85,2000,8.48
Sils,RCP85,2001,7.96
Sils,RCP85,2002,8.21
Sils,RCP85,2003,7.96
Sils,RCP85,2004,7.86
Sils,RCP85,2005,8.15
Sils,RCP85,2006,8.54
Sils,RCP85,2007,8.59
Sils,RCP85,2008,8.44
Sils,RCP85,2009,8.43
Sils,RCP85,2010,8.42
Sils,RCP85,2011,8.15
Sils,RCP85,2012,8.11
Sils,RCP85,2013,8.16
Sils,RCP85,2014,8.73
Sils,RCP85,2015,8.54
Sils,RCP85,2016,8.04
Sils,RCP85,2017,8.55
Sils,RCP85,2018,9.13
Sils,RCP85,2019,9.25
Sils,RCP85,2020,8.62
Sils,RCP85,2021,8.99
Sils,RCP85,2022,8.41
Sils,RCP85,2023,8.74
Sils,RCP85,2024,8.79
Sils,RCP85,2025,9.44
Sils,RCP85,2026,9.19
Sils,RCP85,2027,8.83
Sils,RCP85,2028,9.2
Sils,RCP85,2029,9.42
Sils,RCP85,2030,8.73
Sils,RCP85,2031,9.18
Sils,RCP85,2032,8.82
Sils,RCP85,2033,8.81
Sils,RCP85,2034,9.24
Sils,RCP85,2035,9.2
Sils,RCP85,2036,8.79
Sils,RCP85,2037,9.26
Sils,RCP85,2038,9.48
Sils,RCP85,2039,10.0
Sils,RCP85,2040,10.0
Sils,RCP85,2041,10.12
Sils,RCP85,2042,10.08
Sils,RCP85,2043,9.84
Sils,RCP85,2044,10.2
Sils,RCP85,2045,9.67
Sils,RCP85,2046,9.93
Sils,RCP85,2047,9.75
Sils,RCP85,2048,9.82
Sils,RCP85,2049,10.28
Sils,RCP85,2050,10.47
Sils,RCP85,2051,10.44
Sils,RCP85,2052,10.46
Sils,RCP85,2053,10.24
Sils,RCP85,2054,10.01
Sils,RCP85,2055,10.27
Sils,RCP85,2056,10.92
Sils,RCP85,2057,10.68
Sils,RCP85,2058,11.27
Sils,RCP85,2059,11.03
Sils,RCP85,2060,11.06
Sils,RCP85,2061,10.72
Sils,RCP85,2062,11.03
Sils,RCP85,2063,11.46
Sils,RCP85,2064,11.56
Sils,RCP85,2065,11.13
Sils,RCP85,2066,11.14
Sils,RCP85,2067,11.42
Sils,RCP85,2068,12.56
Sils,RCP85,2069,11.63
Sils,RCP85,2070,10.78
Sils,RCP85,2071,12.07
Sils,RCP85,2072,11.57
Sils,RCP85,2073,11.78
Sils,RCP85,2074,12.22
Sils,RCP85,2075,12.48
Sils,RCP85,2076,11.89
Sils,RCP85,2077,12.24
Sils,RCP85,2078,11.91
Sils,RCP85,2079,12.2
Sils,RCP85,2080,12.95
Sils,RCP85,2081,12.86
Sils,RCP85,2082,12.82
Sils,RCP85,2083,12.9
Sils,RCP85,2084,13.17
Sils,RCP85,2085,12.59
Sils,RCP85,2086,13.24
Sils,RCP85,2087,12.68
Sils,RCP85,2088,13.24
Sils,RCP85,2089,13.53
Sils,RCP85,2090,12.39
Sils,RCP85,2091,13.21
Sils,RCP85,2092,13.33
Sils,RCP85,2093,13.54
Sils,RCP85,2094,13.43
Sils,RCP85,2095,12.86
Sils,RCP85,2096,12.8
Sils,RCP85,2097,13.78
Sils,RCP85,2098,13.8
Sils,RCP85,2099,13.62
