See,Szenario,Jahr,Temperatur
Silvaplana,RCP26,1981,6.87
Silvaplana,RCP26,1982,7.21
Silvaplana,RCP26,1983,7.34
Silvaplana,RCP26,1984,6.71
Silvaplana,RCP26,1985,7.52
Silvaplana,RCP26,1986,7.06
Silvaplana,RCP26,1987,6.92
Silvaplana,RCP26,1988,7.23
Silvaplana,RCP26,1989,7.59
Silvaplana,RCP26,1990,7.21
Silvaplana,RCP26,1991,7.32
Silvaplana,RCP26,1992,7.69
Silvaplana,RCP26,1993,7.84
Silvaplana,RCP26,1994,7.02
Silvaplana,RCP26,1995,7.49
Silvaplana,RCP26,1996,7.08
Silvaplana,RCP26,1997,7.24
Silvaplana,RCP26,1998,7.11
Silvaplana,RCP26,1999,7.46
Silvaplana,RCP26,2000,7.97
Silvaplana,RCP26,2001,7.29
Silvaplana,RCP26,2002,7.79
Silvaplana,RCP26,2003,7.47
Silvaplana,RCP26,2004,7.57
Silvaplana,RCP26,2005,7.75
Silvaplana,RCP26,2006,8.28
Silvaplana,RCP26,2007,7.26
Silvaplana,RCP26,2008,7.56
Silvaplana,RCP26,2009,7.49
Silvaplana,RCP26,2010,8.21
Silvaplana,RCP26,2011,7.55
Silvaplana,RCP26,2012,7.87
Silvaplana,RCP26,2013,8.38
Silvaplana,RCP26,2014,8.18
Silvaplana,RCP26,2015,7.56
Silvaplana,RCP26,2016,6.91
Silvaplana,RCP26,2017,8.09
Silvaplana,RCP26,2018,8.34
Silvaplana,RCP26,2019,7.7
Silvaplana,RCP26,2020,8.04
Silvaplana,RCP26,2021,7.91
Silvaplana,RCP26,2022,7.91
Silvaplana,RCP26,2023,8.79
Silvaplana,RCP26,2024,8.91
Silvaplana,RCP26,2025,7.87
Silvaplana,RCP26,2026,8.05
Silvaplana,RCP26,2027,8.21
Silvaplana,RCP26,2028,8.33
Silvaplana,RCP26,2029,7.89
Silvaplana,RCP26,2030,7.61
Silvaplana,RCP26,2031,8.14
Silvaplana,RCP26,2032,7.95
Silvaplana,RCP26,2033,8.56
Silvaplana,RCP26,2034,8.35
Silvaplana,RCP26,2035,8.8
Silvaplana,RCP26,2036,8.01
Silvaplana,RCP26,2037,9.0
Silvaplana,RCP26,2038,8.14
Silvaplana,RCP26,2039,8.07
Silvaplana,RCP26,2040,9.24
Silvaplana,RCP26,2041,8.63
Silvaplana,RCP26,2042,7.69
Silvaplana,RCP26,2043,8.18
Silvaplana,RCP26,2044,8.59
Silvaplana,RCP26,2045,8.12
Silvaplana,RCP26,2046,8.29
Silvaplana,RCP26,2047,9.31
Silvaplana,RCP26,2048,8.19
Silvaplana,RCP26,2049,8.66
Silvaplana,RCP26,2050,8.81
Silvaplana,RCP26,2051,8.89
Silvaplana,RCP26,2052,9.18
Silvaplana,RCP26,2053,8.42
Silvaplana,RCP26,2054,9.18
Silvaplana,RCP26,2055,8.46
Silvaplana,RCP26,2056,8.9
Silvaplana,RCP26,2057,9.15
Silvaplana,RCP26,2058,8.27
Silvaplana,RCP26,2059,8.42
Silvaplana,RCP26,2060,7.83
Silvaplana,RCP26,2061,8.3
Silvaplana,RCP26,2062,8.42
Silvaplana,RCP26,2063,8.21
Silvaplana,RCP26,2064,8.3
Silvaplana,RCP26,2065,8.85
Silvaplana,RCP26,2066,8.42
Silvaplana,RCP26,2067,8.54
Silvaplana,RCP26,2068,8.92
Silvaplana,RCP26,2069,8.42
Silvaplana,RCP26,2070,8.3
Silvaplana,RCP26,2071,8.78
Silvaplana,RCP26,2072,8.07
Silvaplana,RCP26,2073,9.57
Silvaplana,RCP26,2074,8.93
Silvaplana,RCP26,2075,7.55
Silvaplana,RCP26,2076,8.19
Silvaplana,RCP26,2077,8.26
Silvaplana,RCP26,2078,8.95
Silvaplana,RCP26,2079,8.77
Silvaplana,RCP26,2080,8.2
Silvaplana,RCP26,2081,8.93
Silvaplana,RCP26,2082,9.4
Silvaplana,RCP26,2083,8.81
Silvaplana,RCP26,2084,8.45
Silvaplana,RCP26,2085,8.81
Silvaplana,RCP26,2086,8.15
Silvaplana,RCP26,2087,8.91
Silvaplana,RCP26,2088,8.95
Silvaplana,RCP26,2089,8.05
Silvaplana,RCP26,2090,9.23
Silvaplana,RCP26,2091,8.49
Silvaplana,RCP26,2092,8.36
Silvaplana,RCP26,2093,8.36
Silvaplana,RCP26,2094,7.84
Silvaplana,RCP26,2095,8.21
Silvaplana,RCP26,2096,8.21
Silvaplana,RCP26,2097,7.83
Silvaplana,RCP26,2098,8.45
Silvaplana,RCP26,2099,8.61
Silvaplana,RCP45,1981,6.88
Silvaplana,RCP45,1982,7.17
Silvaplana,RCP45,1983,7.32
Silvaplana,RCP45,1984,7.04
Silvaplana,RCP45,1985,7.55
Silvaplana,RCP45,1986,7.14
Silvaplana,RCP45,1987,6.96
Silvaplana,RCP45,1988,7.31
Silvaplana,RCP45,1989,7.58
Silvaplana,RCP45,1990,7.1
Silvaplana,RCP45,1991,7.51
Silvaplana,RCP45,1992,7.82
Silvaplana,RCP45,1993,7.81
Silvaplana,RCP45,1994,6.98
Silvaplana,RCP45,1995,7.23
Silvaplana,RCP45,1996,7.16
Silvaplana,RCP45,1997,7.54
Silvaplana,RCP45,1998,7.56
Silvaplana,RCP45,1999,7.26
Silvaplana,RCP45,2000,7.61
Silvaplana,RCP45,2001,7.49
Silvaplana,RCP45,2002,7.77
Silvaplana,RCP45,2003,7.43
Silvaplana,RCP45,2004,7.66
Silvaplana,RCP45,2005,7.78
Silvaplana,RCP45,2006,7.58
Silvaplana,RCP45,2007,8.0
Silvaplana,RCP45,2008,7.55
Silvaplana,RCP45,2009,7.39
Silvaplana,RCP45,2010,7.24
Silvaplana,RCP45,2011,8.27
Silvaplana,RCP45,2012,8.14
Silvaplana,RCP45,2013,7.77
Silvaplana,RCP45,2014,7.67
Silvaplana,RCP45,2015,7.87
Silvaplana,RCP45,2016,8.49
Silvaplana,RCP45,2017,7.92
Silvaplana,RCP45,2018,7.64
Silvaplana,RCP45,2019,8.04
Silvaplana,RCP45,2020,8.33
Silvaplana,RCP45,2021,7.89
Silvaplana,RCP45,2022,7.84
Silvaplana,RCP45,2023,8.18
Silvaplana,RCP45,2024,8.1
Silvaplana,RCP45,2025,8.72
Silvaplana,RCP45,2026,8.48
Silvaplana,RCP45,2027,8.47
Silvaplana,RCP45,2028,8.15
Silvaplana,RCP45,2029,7.79
Silvaplana,RCP45,2030,7.77
Silvaplana,RCP45,2031,7.9
Silvaplana,RCP45,2032,8.71
Silvaplana,RCP45,2033,8.61
Silvaplana,RCP45,2034,8.86
Silvaplana,RCP45,2035,8.75
Silvaplana,RCP45,2036,9.13
Silvaplana,RCP45,2037,7.97
Silvaplana,RCP45,2038,9.39
Silvaplana,RCP45,2039,8.61
Silvaplana,RCP45,2040,8.71
Silvaplana,RCP45,2041,8.27
Silvaplana,RCP45,2042,8.89
Silvaplana,RCP45,2043,8.34
Silvaplana,RCP45,2044,9.38
Silvaplana,RCP45,2045,9.32
Silvaplana,RCP45,2046,9.33
Silvaplana,RCP45,2047,8.62
Silvaplana,RCP45,2048,8.93
Silvaplana,RCP45,2049,8.67
Silvaplana,RCP45,2050,8.9
Silvaplana,RCP45,2051,8.68
Silvaplana,RCP45,2052,8.35
Silvaplana,RCP45,2053,9.38
Silvaplana,RCP45,2054,8.88
Silvaplana,RCP45,2055,9.24
Silvaplana,RCP45,2056,9.86
Silvaplana,RCP45,2057,8.63
Silvaplana,RCP45,2058,8.69
Silvaplana,RCP45,2059,9.16
Silvaplana,RCP45,2060,9.28
Silvaplana,RCP45,2061,9.39
Silvaplana,RCP45,2062,10.27
Silvaplana,RCP45,2063,9.29
Silvaplana,RCP45,2064,9.28
Silvaplana,RCP45,2065,9.56
Silvaplana,RCP45,2066,9.4
Silvaplana,RCP45,2067,9.71
Silvaplana,RCP45,2068,8.62
Silvaplana,RCP45,2069,9.36
