See,Szenario,Jahr,Temperatur
Upper-Constance,RCP26,1981,11.05
Upper-Constance,RCP26,1982,11.87
Upper-Constance,RCP26,1983,11.95
Upper-Constance,RCP26,1984,11.2
Upper-Constance,RCP26,1985,11.59
Upper-Constance,RCP26,1986,11.99
Upper-Constance,RCP26,1987,11.53
Upper-Constance,RCP26,1988,11.8
Upper-Constance,RCP26,1989,11.8
Upper-Constance,RCP26,1990,12.04
Upper-Constance,RCP26,1991,11.4
Upper-Constance,RCP26,1992,12.33
Upper-Constance,RCP26,1993,11.86
Upper-Constance,RCP26,1994,11.21
Upper-Constance,RCP26,1995,11.97
Upper-Constance,RCP26,1996,11.88
Upper-Constance,RCP26,1997,12.53
Upper-Constance,RCP26,1998,11.65
Upper-Constance,RCP26,1999,11.88
Upper-Constance,RCP26,2000,12.55
Upper-Constance,RCP26,2001,11.99
Upper-Constance,RCP26,2002,11.92
Upper-Constance,RCP26,2003,12.54
Upper-Constance,RCP26,2004,12.45
Upper-Constance,RCP26,2005,12.32
Upper-Constance,RCP26,2006,12.34
Upper-Constance,RCP26,2007,11.72
Upper-Constance,RCP26,2008,12.05
Upper-Constance,RCP26,2009,12.12
Upper-Constance,RCP26,2010,12.86
Upper-Constance,RCP26,2011,12.16
Upper-Constance,RCP26,2012,12.15
Upper-Constance,RCP26,2013,12.64
Upper-Constance,RCP26,2014,13.12
Upper-Constance,RCP26,2015,12.27
Upper-Constance,RCP26,2016,12.0
Upper-Constance,RCP26,2017,12.49
Upper-Constance,RCP26,2018,12.47
Upper-Constance,RCP26,2019,12.26
Upper-Constance,RCP26,2020,13.03
Upper-Constance,RCP26,2021,12.16
Upper-Constance,RCP26,2022,12.7
Upper-Constance,RCP26,2023,13.28
Upper-Constance,RCP26,2024,13.03
Upper-Constance,RCP26,2025,12.77
Upper-Constance,RCP26,2026,13.1
Upper-Constance,RCP26,2027,12.71
Upper-Constance,RCP26,2028,13.03
Upper-Constance,RCP26,2029,12.3
Upper-Constance,RCP26,2030,12.25
Upper-Constance,RCP26,2031,12.66
Upper-Constance,RCP26,2032,12.84
Upper-Constance,RCP26,2033,13.48
Upper-Constance,RCP26,2034,13.0
Upper-Constance,RCP26,2035,13.39
Upper-Constance,RCP26,2036,12.87
Upper-Constance,RCP26,2037,13.62
Upper-Constance,RCP26,2038,12.84
Upper-Constance,RCP26,2039,12.88
Upper-Constance,RCP26,2040,13.58
Upper-Constance,RCP26,2041,13.29
Upper-Constance,RCP26,2042,12.33
Upper-Constance,RCP26,2043,12.43
Upper-Constance,RCP26,2044,13.09
Upper-Constance,RCP26,2045,13.05
Upper-Constance,RCP26,2046,12.84
Upper-Constance,RCP26,2047,13.73
Upper-Constance,RCP26,2048,13.34
Upper-Constance,RCP26,2049,13.37
Upper-Constance,RCP26,2050,13.2
Upper-Constance,RCP26,2051,12.88
Upper-Constance,RCP26,2052,13.13
Upper-Constance,RCP26,2053,12.93
Upper-Constance,RCP26,2054,13.12
Upper-Constance,RCP26,2055,13.04
Upper-Constance,RCP26,2056,13.2
Upper-Constance,RCP26,2057,13.82
Upper-Constance,RCP26,2058,12.76
Upper-Constance,RCP26,2059,12.6
Upper-Constance,RCP26,2060,12.5
Upper-Constance,RCP26,2061,13.1
Upper-Constance,RCP26,2062,12.9
Upper-Constance,RCP26,2063,12.78
Upper-Constance,RCP26,2064,13.07
Upper-Constance,RCP26,2065,13.33
Upper-Constance,RCP26,2066,12.9
Upper-Constance,RCP26,2067,13.08
Upper-Constance,RCP26,2068,13.32
Upper-Constance,RCP26,2069,13.15
Upper-Constance,RCP26,2070,12.8
Upper-Constance,RCP26,2071,12.69
Upper-Constance,RCP26,2072,13.07
Upper-Constance,RCP26,2073,13.8
Upper-Constance,RCP26,2074,13.53
Upper-Constance,RCP26,2075,12.56
Upper-Constance,RCP26,2076,12.55
Upper-Constance,RCP26,2077,13.28
Upper-Constance,RCP26,2078,13.17
Upper-Constance,RCP26,2079,13.62
Upper-Constance,RCP26,2080,12.77
Upper-Constance,RCP26,2081,13.68
Upper-Constance,RCP26,2082,14.13
Upper-Constance,RCP26,2083,13.3
Upper-Constance,RCP26,2084,13.23
Upper-Constance,RCP26,2085,13.18
Upper-Constance,RCP26,2086,12.86
Upper-Constance,RCP26,2087,13.15
Upper-Constance,RCP26,2088,13.25
Upper-Constance,RCP26,2089,12.25
Upper-Constance,RCP26,2090,13.12
Upper-Constance,RCP26,2091,12.97
Upper-Constance,RCP26,2092,12.99
Upper-Constance,RCP26,2093,12.66
Upper-Constance,RCP26,2094,12.83
