See,Szenario,Jahr,Temperatur
Upper-Lugano,RCP26,1981,13.77
Upper-Lugano,RCP26,1982,14.43
Upper-Lugano,RCP26,1983,14.18
Upper-Lugano,RCP26,1984,14.1
Upper-Lugano,RCP26,1985,14.23
Upper-Lugano,RCP26,1986,14.47
Upper-Lugano,RCP26,1987,14.36
Upper-Lugano,RCP26,1988,14.5
Upper-Lugano,RCP26,1989,14.5
Upper-Lugano,RCP26,1990,14.81
Upper-Lugano,RCP26,1991,14.15
Upper-Lugano,RCP26,1992,15.21
Upper-Lugano,RCP26,1993,14.53
Upper-Lugano,RCP26,1994,14.2
Upper-Lugano,RCP26,1995,14.78
Upper-Lugano,RCP26,1996,14.58
Upper-Lugano,RCP26,1997,15.28
Upper-Lugano,RCP26,1998,14.61
Upper-Lugano,RCP26,1999,14.9
Upper-Lugano,RCP26,2000,15.17
Upper-Lugano,RCP26,2001,14.48
Upper-Lugano,RCP26,2002,14.65
Upper-Lugano,RCP26,2003,14.69
Upper-Lugano,RCP26,2004,14.93
Upper-Lugano,RCP26,2005,14.92
Upper-Lugano,RCP26,2006,15.07
Upper-Lugano,RCP26,2007,14.55
Upper-Lugano,RCP26,2008,14.39
Upper-Lugano,RCP26,2009,14.96
Upper-Lugano,RCP26,2010,15.39
Upper-Lugano,RCP26,2011,14.88
Upper-Lugano,RCP26,2012,14.91
Upper-Lugano,RCP26,2013,15.46
Upper-Lugano,RCP26,2014,15.89
Upper-Lugano,RCP26,2015,14.94
Upper-Lugano,RCP26,2016,14.82
Upper-Lugano,RCP26,2017,15.06
Upper-Lugano,RCP26,2018,15.24
Upper-Lugano,RCP26,2019,15.03
Upper-Lugano,RCP26,2020,15.44
Upper-Lugano,RCP26,2021,15.18
Upper-Lugano,RCP26,2022,15.79
Upper-Lugano,RCP26,2023,15.87
Upper-Lugano,RCP26,2024,16.04
Upper-Lugano,RCP26,2025,15.78
Upper-Lugano,RCP26,2026,15.54
Upper-Lugano,RCP26,2027,15.4
Upper-Lugano,RCP26,2028,15.7
Upper-Lugano,RCP26,2029,15.34
Upper-Lugano,RCP26,2030,15.28
Upper-Lugano,RCP26,2031,15.55
Upper-Lugano,RCP26,2032,15.74
Upper-Lugano,RCP26,2033,15.85
Upper-Lugano,RCP26,2034,15.63
Upper-Lugano,RCP26,2035,15.84
Upper-Lugano,RCP26,2036,15.32
Upper-Lugano,RCP26,2037,16.22
Upper-Lugano,RCP26,2038,15.57
Upper-Lugano,RCP26,2039,15.6
Upper-Lugano,RCP26,2040,16.22
Upper-Lugano,RCP26,2041,15.44
Upper-Lugano,RCP26,2042,15.22
Upper-Lugano,RCP26,2043,15.55
Upper-Lugano,RCP26,2044,15.73
Upper-Lugano,RCP26,2045,15.76
Upper-Lugano,RCP26,2046,15.38
Upper-Lugano,RCP26,2047,16.14
Upper-Lugano,RCP26,2048,15.78
Upper-Lugano,RCP26,2049,16.11
Upper-Lugano,RCP26,2050,15.96
Upper-Lugano,RCP26,2051,15.67
Upper-Lugano,RCP26,2052,15.65
Upper-Lugano,RCP26,2053,15.57
Upper-Lugano,RCP26,2054,15.7
Upper-Lugano,RCP26,2055,15.67
Upper-Lugano,RCP26,2056,15.82
Upper-Lugano,RCP26,2057,16.39
Upper-Lugano,RCP26,2058,15.55
Upper-Lugano,RCP26,2059,15.32
Upper-Lugano,RCP26,2060,15.64
Upper-Lugano,RCP26,2061,15.51
Upper-Lugano,RCP26,2062,15.85
Upper-Lugano,RCP26,2063,15.6
Upper-Lugano,RCP26,2064,15.72
Upper-Lugano,RCP26,2065,16.18
Upper-Lugano,RCP26,2066,15.85
Upper-Lugano,RCP26,2067,15.55
Upper-Lugano,RCP26,2068,15.97
Upper-Lugano,RCP26,2069,15.63
Upper-Lugano,RCP26,2070,15.31
Upper-Lugano,RCP26,2071,15.51
Upper-Lugano,RCP26,2072,15.43
Upper-Lugano,RCP26,2073,16.04
Upper-Lugano,RCP26,2074,15.84
Upper-Lugano,RCP26,2075,15.23
Upper-Lugano,RCP26,2076,15.25
Upper-Lugano,RCP26,2077,15.35
Upper-Lugano,RCP26,2078,16.04
Upper-Lugano,RCP26,2079,15.7
Upper-Lugano,RCP26,2080,15.73
Upper-Lugano,RCP26,2081,16.29
Upper-Lugano,RCP26,2082,16.35
Upper-Lugano,RCP26,2083,16.19
Upper-Lugano,RCP26,2084,15.69
Upper-Lugano,RCP26,2085,15.83
Upper-Lugano,RCP26,2086,16.03
Upper-Lugano,RCP26,2087,15.88
Upper-Lugano,RCP26,2088,16.11
Upper-Lugano,RCP26,2089,14.96
Upper-Lugano,RCP26,2090,16.06
Upper-Lugano,RCP26,2091,15.59
Upper-Lugano,RCP26,2092,15.98
Upper-Lugano,RCP26,2093,15.43
Upper-Lugano,RCP26,2094,15.45
Upper-Lugano,RCP26,2095,15.64
Upper-Lugano,RCP26,2096,15.23
Upper-Lugano,RCP26,2097,15.49
Upper-Lugano,RCP26,2098,16.08
Upper-Lugano,RCP26,2099,15.76
Upper-Lugano,RCP45,1981,13.8
Upper-Lugano,RCP45,1982,13.92
Upper-Lugano,RCP45,1983,14.15
Upper-Lugano,RCP45,1984,14.16
Upper-Lugano,RCP45,1985,14.08
Upper-Lugano,RCP45,1986,14.5
Upper-Lugano,RCP45,1987,14.26
Upper-Lugano,RCP45,1988,14.21
Upper-Lugano,RCP45,1989,14.54
Upper-Lugano,RCP45,1990,14.73
Upper-Lugano,RCP45,1991,14.19
Upper-Lugano,RCP45,1992,15.25
Upper-Lugano,RCP45,1993,14.57
Upper-Lugano,RCP45,1994,14.13
Upper-Lugano,RCP45,1995,14.79
Upper-Lugano,RCP45,1996,14.65
Upper-Lugano,RCP45,1997,14.87
Upper-Lugano,RCP45,1998,14.63
Upper-Lugano,RCP45,1999,14.92
Upper-Lugano,RCP45,2000,14.71
Upper-Lugano,RCP45,2001,14.48
Upper-Lugano,RCP45,2002,14.72
Upper-Lugano,RCP45,2003,14.59
Upper-Lugano,RCP45,2004,14.97
Upper-Lugano,RCP45,2005,14.98
Upper-Lugano,RCP45,2006,14.71
Upper-Lugano,RCP45,2007,15.01
Upper-Lugano,RCP45,2008,14.38
Upper-Lugano,RCP45,2009,14.86
Upper-Lugano,RCP45,2010,14.22
Upper-Lugano,RCP45,2011,15.46
Upper-Lugano,RCP45,2012,15.42
Upper-Lugano,RCP45,2013,14.93
Upper-Lugano,RCP45,2014,15.0
Upper-Lugano,RCP45,2015,14.82
Upper-Lugano,RCP45,2016,15.32
Upper-Lugano,RCP45,2017,15.02
Upper-Lugano,RCP45,2018,15.1
Upper-Lugano,RCP45,2019,14.78
Upper-Lugano,RCP45,2020,15.55
Upper-Lugano,RCP45,2021,14.97
Upper-Lugano,RCP45,2022,15.0
Upper-Lugano,RCP45,2023,15.34
Upper-Lugano,RCP45,2024,14.88
Upper-Lugano,RCP45,2025,15.34
Upper-Lugano,RCP45,2026,15.33
Upper-Lugano,RCP45,2027,15.37
Upper-Lugano,RCP45,2028,15.24
Upper-Lugano,RCP45,2029,14.94
Upper-Lugano,RCP45,2030,15.02
Upper-Lugano,RCP45,2031,15.13
Upper-Lugano,RCP45,2032,15.52
Upper-Lugano,RCP45,2033,15.96
Upper-Lugano,RCP45,2034,15.62
Upper-Lugano,RCP45,2035,15.31
Upper-Lugano,RCP45,2036,15.67
Upper-Lugano,RCP45,2037,15.36
Upper-Lugano,RCP45,2038,15.9
Upper-Lugano,RCP45,2039,15.83
Upper-Lugano,RCP45,2040,15.79
Upper-Lugano,RCP45,2041,15.54
Upper-Lugano,RCP45,2042,15.97
Upper-Lugano,RCP45,2043,15.25
Upper-Lugano,RCP45,2044,16.24
Upper-Lugano,RCP45,2045,15.78
Upper-Lugano,RCP45,2046,16.05
Upper-Lugano,RCP45,2047,15.79
Upper-Lugano,RCP45,2048,15.62
Upper-Lugano,RCP45,2049,15.44
Upper-Lugano,RCP45,2050,15.72
Upper-Lugano,RCP45,2051,15.93
Upper-Lugano,RCP45,2052,15.5
Upper-Lugano,RCP45,2053,15.74
Upper-Lugano,RCP45,2054,15.78
Upper-Lugano,RCP45,2055,16.23
Upper-Lugano,RCP45,2056,16.14
Upper-Lugano,RCP45,2057,16.43
Upper-Lugano,RCP45,2058,15.85
Upper-Lugano,RCP45,2059,15.99
Upper-Lugano,RCP45,2060,16.17
Upper-Lugano,RCP45,2061,16.17
Upper-Lugano,RCP45,2062,16.63
Upper-Lugano,RCP45,2063,16.13
Upper-Lugano,RCP45,2064,16.07
Upper-Lugano,RCP45,2065,15.92
Upper-Lugano,RCP45,2066,16.31
Upper-Lugano,RCP45,2067,16.5
Upper-Lugano,RCP45,2068,15.72
Upper-Lugano,RCP45,2069,16.15
Upper-Lugano,RCP45,2070,16.37
Upper-Lugano,RCP45,2071,15.89
Upper-Lugano,RCP45,2072,16.48
Upper-Lugano,RCP45,2073,16.43
Upper-Lugano,RCP45,2074,16.17
Upper-Lugano,RCP45,2075,16.32
Upper-Lugano,RCP45,2076,16.36
Upper-Lugano,RCP45,2077,15.9
Upper-Lugano,RCP45,2078,15.96
Upper-Lugano,RCP45,2079,16.31
Upper-Lugano,RCP45,2080,16.6
Upper-Lugano,RCP45,2081,16.51
Upper-Lugano,RCP45,2082,16.48
Upper-Lugano,RCP45,2083,16.64
Upper-Lugano,RCP45,2084,15.74
Upper-Lugano,RCP45,2085,16.46
Upper-Lugano,RCP45,2086,16.28
Upper-Lugano,RCP45,2087,16.46
Upper-Lugano,RCP45,2088,16.34
Upper-Lugano,RCP45,2089,16.3
Upper-Lugano,RCP45,2090,16.68
Upper-Lugano,RCP45,2091,16.44
Upper-Lugano,RCP45,2092,16.58
Upper-Lugano,RCP45,2093,16.27
Upper-Lugano,RCP45,2094,16.43
Upper-Lugano,RCP45,2095,16.05
Upper-Lugano,RCP45,2096,16.18
Upper-Lugano,RCP45,2097,16.32
Upper-Lugano,RCP45,2098,16.0
Upper-Lugano,RCP45,2099,16.62
Upper-Lugano,RCP85,1981,13.83
Upper-Lugano,RCP85,1982,14.36
Upper-Lugano,RCP85,1983,14.11
Upper-Lugano,RCP85,1984,14.26
Upper-Lugano,RCP85,1985,14.07
Upper-Lugano,RCP85,1986,14.45
Upper-Lugano,RCP85,1987,14.37
Upper-Lugano,RCP85,1988,14.21
Upper-Lugano,RCP85,1989,14.53
Upper-Lugano,RCP85,1990,14.72
Upper-Lugano,RCP85,1991,14.2
Upper-Lugano,RCP85,1992,15.19
Upper-Lugano,RCP85,1993,14.55
Upper-Lugano,RCP85,1994,14.2
Upper-Lugano,RCP85,1995,14.85
Upper-Lugano,RCP85,1996,14.97
Upper-Lugano,RCP85,1997,14.78
Upper-Lugano,RCP85,1998,14.97
Upper-Lugano,RCP85,1999,14.92
Upper-Lugano,RCP85,2000,15.07
Upper-Lugano,RCP85,2001,15.34
Upper-Lugano,RCP85,2002,14.94
Upper-Lugano,RCP85,2003,14.6
Upper-Lugano,RCP85,2004,14.95
Upper-Lugano,RCP85,2005,14.9
Upper-Lugano,RCP85,2006,14.98
Upper-Lugano,RCP85,2007,14.97
Upper-Lugano,RCP85,2008,15.1
Upper-Lugano,RCP85,2009,14.91
Upper-Lugano,RCP85,2010,15.24
Upper-Lugano,RCP85,2011,14.97
Upper-Lugano,RCP85,2012,14.77
Upper-Lugano,RCP85,2013,15.01
Upper-Lugano,RCP85,2014,14.73
Upper-Lugano,RCP85,2015,15.43
Upper-Lugano,RCP85,2016,14.93
Upper-Lugano,RCP85,2017,15.49
Upper-Lugano,RCP85,2018,15.28
Upper-Lugano,RCP85,2019,15.38
Upper-Lugano,RCP85,2020,15.46
Upper-Lugano,RCP85,2021,15.59
Upper-Lugano,RCP85,2022,15.19
Upper-Lugano,RCP85,2023,15.44
Upper-Lugano,RCP85,2024,15.49
Upper-Lugano,RCP85,2025,15.76
Upper-Lugano,RCP85,2026,15.43
Upper-Lugano,RCP85,2027,15.5
Upper-Lugano,RCP85,2028,15.7
Upper-Lugano,RCP85,2029,16.33
Upper-Lugano,RCP85,2030,15.62
Upper-Lugano,RCP85,2031,15.43
Upper-Lugano,RCP85,2032,15.35
Upper-Lugano,RCP85,2033,15.46
Upper-Lugano,RCP85,2034,15.62
Upper-Lugano,RCP85,2035,15.71
Upper-Lugano,RCP85,2036,15.57
Upper-Lugano,RCP85,2037,15.77
Upper-Lugano,RCP85,2038,16.28
Upper-Lugano,RCP85,2039,16.46
Upper-Lugano,RCP85,2040,16.03
Upper-Lugano,RCP85,2041,15.99
Upper-Lugano,RCP85,2042,16.27
Upper-Lugano,RCP85,2043,16.39
Upper-Lugano,RCP85,2044,16.12
Upper-Lugano,RCP85,2045,15.98
Upper-Lugano,RCP85,2046,16.07
Upper-Lugano,RCP85,2047,16.03
Upper-Lugano,RCP85,2048,16.3
Upper-Lugano,RCP85,2049,15.95
Upper-Lugano,RCP85,2050,16.36
Upper-Lugano,RCP85,2051,16.71
Upper-Lugano,RCP85,2052,16.63
Upper-Lugano,RCP85,2053,16.29
Upper-Lugano,RCP85,2054,16.45
Upper-Lugano,RCP85,2055,16.15
Upper-Lugano,RCP85,2056,16.46
Upper-Lugano,RCP85,2057,16.9
Upper-Lugano,RCP85,2058,17.13
Upper-Lugano,RCP85,2059,16.7
Upper-Lugano,RCP85,2060,16.54
Upper-Lugano,RCP85,2061,16.84
Upper-Lugano,RCP85,2062,17.05
Upper-Lugano,RCP85,2063,17.18
Upper-Lugano,RCP85,2064,17.55
Upper-Lugano,RCP85,2065,17.03
Upper-Lugano,RCP85,2066,17.36
Upper-Lugano,RCP85,2067,16.82
Upper-Lugano,RCP85,2068,17.44
Upper-Lugano,RCP85,2069,17.22
Upper-Lugano,RCP85,2070,17.09
Upper-Lugano,RCP85,2071,17.55
Upper-Lugano,RCP85,2072,17.35
Upper-Lugano,RCP85,2073,17.28
Upper-Lugano,RCP85,2074,17.48
Upper-Lugano,RCP85,2075,17.47
Upper-Lugano,RCP85,2076,17.77
Upper-Lugano,RCP85,2077,17.29
Upper-Lugano,RCP85,2078,17.75
Upper-Lugano,RCP85,2079,17.61
Upper-Lugano,RCP85,2080,17.8
Upper-Lugano,RCP85,2081,18.12
Upper-Lugano,RCP85,2082,18.03
Upper-Lugano,RCP85,2083,18.08
Upper-Lugano,RCP85,2084,17.98
Upper-Lugano,RCP85,2085,17.72
Upper-Lugano,RCP85,2086,18.21
Upper-Lugano,RCP85,2087,18.39
Upper-Lugano,RCP85,2088,18.13
Upper-Lugano,RCP85,2089,18.25
Upper-Lugano,RCP85,2090,17.83
Upper-Lugano,RCP85,2091,18.41
Upper-Lugano,RCP85,2092,18.41
Upper-Lugano,RCP85,2093,18.81
Upper-Lugano,RCP85,2094,18.62
Upper-Lugano,RCP85,2095,18.2
Upper-Lugano,RCP85,2096,18.57
Upper-Lugano,RCP85,2097,18.48
Upper-Lugano,RCP85,2098,19.5
Upper-Lugano,RCP85,2099,18.97
