See,Szenario,Jahr,Temperatur
Upper-Zurich,RCP26,1981,11.94
Upper-Zurich,RCP26,1982,12.69
Upper-Zurich,RCP26,1983,12.59
Upper-Zurich,RCP26,1984,11.57
Upper-Zurich,RCP26,1985,12.27
Upper-Zurich,RCP26,1986,12.82
Upper-Zurich,RCP26,1987,12.02
Upper-Zurich,RCP26,1988,12.44
Upper-Zurich,RCP26,1989,12.61
Upper-Zurich,RCP26,1990,12.57
Upper-Zurich,RCP26,1991,11.88
Upper-Zurich,RCP26,1992,12.91
Upper-Zurich,RCP26,1993,12.78
Upper-Zurich,RCP26,1994,11.98
Upper-Zurich,RCP26,1995,12.84
Upper-Zurich,RCP26,1996,12.54
Upper-Zurich,RCP26,1997,12.97
Upper-Zurich,RCP26,1998,12.34
Upper-Zurich,RCP26,1999,12.69
Upper-Zurich,RCP26,2000,13.03
Upper-Zurich,RCP26,2001,12.54
Upper-Zurich,RCP26,2002,12.62
Upper-Zurich,RCP26,2003,13.1
Upper-Zurich,RCP26,2004,13.15
Upper-Zurich,RCP26,2005,13.04
Upper-Zurich,RCP26,2006,13.17
Upper-Zurich,RCP26,2007,12.41
Upper-Zurich,RCP26,2008,12.42
Upper-Zurich,RCP26,2009,12.99
Upper-Zurich,RCP26,2010,13.38
Upper-Zurich,RCP26,2011,12.72
Upper-Zurich,RCP26,2012,12.54
Upper-Zurich,RCP26,2013,13.37
Upper-Zurich,RCP26,2014,13.62
Upper-Zurich,RCP26,2015,12.74
Upper-Zurich,RCP26,2016,12.46
Upper-Zurich,RCP26,2017,12.99
Upper-Zurich,RCP26,2018,13.29
Upper-Zurich,RCP26,2019,13.05
Upper-Zurich,RCP26,2020,13.52
Upper-Zurich,RCP26,2021,12.78
Upper-Zurich,RCP26,2022,13.18
Upper-Zurich,RCP26,2023,14.05
Upper-Zurich,RCP26,2024,13.78
Upper-Zurich,RCP26,2025,13.3
Upper-Zurich,RCP26,2026,13.47
Upper-Zurich,RCP26,2027,13.21
Upper-Zurich,RCP26,2028,13.53
Upper-Zurich,RCP26,2029,12.92
Upper-Zurich,RCP26,2030,13.02
Upper-Zurich,RCP26,2031,13.2
Upper-Zurich,RCP26,2032,13.48
Upper-Zurich,RCP26,2033,13.95
Upper-Zurich,RCP26,2034,13.73
Upper-Zurich,RCP26,2035,13.91
Upper-Zurich,RCP26,2036,13.29
Upper-Zurich,RCP26,2037,14.09
Upper-Zurich,RCP26,2038,13.44
Upper-Zurich,RCP26,2039,13.48
Upper-Zurich,RCP26,2040,14.08
Upper-Zurich,RCP26,2041,13.87
Upper-Zurich,RCP26,2042,13.01
Upper-Zurich,RCP26,2043,13.03
Upper-Zurich,RCP26,2044,13.64
Upper-Zurich,RCP26,2045,13.74
Upper-Zurich,RCP26,2046,13.44
Upper-Zurich,RCP26,2047,14.38
Upper-Zurich,RCP26,2048,13.82
Upper-Zurich,RCP26,2049,13.85
Upper-Zurich,RCP26,2050,13.84
Upper-Zurich,RCP26,2051,13.75
Upper-Zurich,RCP26,2052,13.71
Upper-Zurich,RCP26,2053,13.49
Upper-Zurich,RCP26,2054,13.86
Upper-Zurich,RCP26,2055,13.75
Upper-Zurich,RCP26,2056,14.24
Upper-Zurich,RCP26,2057,13.84
Upper-Zurich,RCP26,2058,13.4
Upper-Zurich,RCP26,2059,13.36
Upper-Zurich,RCP26,2060,13.08
Upper-Zurich,RCP26,2061,13.62
Upper-Zurich,RCP26,2062,13.46
Upper-Zurich,RCP26,2063,13.34
Upper-Zurich,RCP26,2064,13.67
Upper-Zurich,RCP26,2065,13.89
Upper-Zurich,RCP26,2066,13.52
Upper-Zurich,RCP26,2067,13.71
Upper-Zurich,RCP26,2068,14.03
Upper-Zurich,RCP26,2069,13.68
Upper-Zurich,RCP26,2070,13.64
Upper-Zurich,RCP26,2071,13.63
Upper-Zurich,RCP26,2072,13.32
Upper-Zurich,RCP26,2073,14.6
Upper-Zurich,RCP26,2074,13.99
Upper-Zurich,RCP26,2075,13.0
Upper-Zurich,RCP26,2076,13.47
Upper-Zurich,RCP26,2077,13.79
Upper-Zurich,RCP26,2078,13.89
Upper-Zurich,RCP26,2079,14.01
Upper-Zurich,RCP26,2080,13.47
Upper-Zurich,RCP26,2081,14.23
Upper-Zurich,RCP26,2082,15.0
Upper-Zurich,RCP26,2083,13.89
Upper-Zurich,RCP26,2084,13.68
Upper-Zurich,RCP26,2085,13.95
Upper-Zurich,RCP26,2086,13.45
Upper-Zurich,RCP26,2087,13.9
Upper-Zurich,RCP26,2088,13.96
Upper-Zurich,RCP26,2089,13.06
Upper-Zurich,RCP26,2090,13.79
Upper-Zurich,RCP26,2091,13.78
Upper-Zurich,RCP26,2092,13.54
Upper-Zurich,RCP26,2093,13.37
Upper-Zurich,RCP26,2094,13.4
Upper-Zurich,RCP26,2095,13.45
Upper-Zurich,RCP26,2096,13.42
Upper-Zurich,RCP26,2097,13.3
Upper-Zurich,RCP26,2098,13.34
Upper-Zurich,RCP26,2099,13.82
Upper-Zurich,RCP45,1981,12.02
Upper-Zurich,RCP45,1982,12.27
Upper-Zurich,RCP45,1983,12.67
Upper-Zurich,RCP45,1984,11.63
Upper-Zurich,RCP45,1985,12.3
Upper-Zurich,RCP45,1986,12.41
Upper-Zurich,RCP45,1987,11.72
Upper-Zurich,RCP45,1988,12.23
Upper-Zurich,RCP45,1989,12.64
Upper-Zurich,RCP45,1990,12.66
Upper-Zurich,RCP45,1991,11.96
