See,Szenario,Jahr,Temperatur
Walen,RCP26,1981,9.81
Walen,RCP26,1982,10.41
Walen,RCP26,1983,10.46
Walen,RCP26,1984,10.19
Walen,RCP26,1985,10.49
Walen,RCP26,1986,11.08
Walen,RCP26,1987,10.38
Walen,RCP26,1988,10.6
Walen,RCP26,1989,10.77
Walen,RCP26,1990,10.62
Walen,RCP26,1991,10.42
Walen,RCP26,1992,11.24
Walen,RCP26,1993,11.13
Walen,RCP26,1994,10.03
Walen,RCP26,1995,10.99
Walen,RCP26,1996,10.55
Walen,RCP26,1997,11.32
Walen,RCP26,1998,10.81
Walen,RCP26,1999,10.79
Walen,RCP26,2000,11.6
Walen,RCP26,2001,10.71
Walen,RCP26,2002,11.03
Walen,RCP26,2003,11.07
Walen,RCP26,2004,11.16
Walen,RCP26,2005,11.07
Walen,RCP26,2006,11.48
Walen,RCP26,2007,10.62
Walen,RCP26,2008,11.08
Walen,RCP26,2009,11.52
Walen,RCP26,2010,11.66
Walen,RCP26,2011,11.12
Walen,RCP26,2012,11.26
Walen,RCP26,2013,11.24
Walen,RCP26,2014,11.96
Walen,RCP26,2015,11.09
Walen,RCP26,2016,10.63
Walen,RCP26,2017,11.25
Walen,RCP26,2018,11.08
Walen,RCP26,2019,11.06
Walen,RCP26,2020,11.89
Walen,RCP26,2021,11.25
Walen,RCP26,2022,11.57
Walen,RCP26,2023,11.7
Walen,RCP26,2024,11.75
Walen,RCP26,2025,11.79
Walen,RCP26,2026,12.14
Walen,RCP26,2027,11.68
Walen,RCP26,2028,11.92
Walen,RCP26,2029,11.16
Walen,RCP26,2030,11.13
Walen,RCP26,2031,11.59
Walen,RCP26,2032,11.8
Walen,RCP26,2033,12.26
Walen,RCP26,2034,11.98
Walen,RCP26,2035,12.14
Walen,RCP26,2036,11.67
Walen,RCP26,2037,12.21
Walen,RCP26,2038,11.95
Walen,RCP26,2039,12.08
Walen,RCP26,2040,12.58
Walen,RCP26,2041,12.32
Walen,RCP26,2042,11.33
Walen,RCP26,2043,11.38
Walen,RCP26,2044,11.92
Walen,RCP26,2045,12.01
Walen,RCP26,2046,11.74
Walen,RCP26,2047,12.31
Walen,RCP26,2048,12.25
Walen,RCP26,2049,12.61
Walen,RCP26,2050,12.28
Walen,RCP26,2051,11.97
Walen,RCP26,2052,12.26
Walen,RCP26,2053,11.94
Walen,RCP26,2054,12.09
Walen,RCP26,2055,11.98
Walen,RCP26,2056,12.47
Walen,RCP26,2057,13.02
Walen,RCP26,2058,11.65
Walen,RCP26,2059,11.12
Walen,RCP26,2060,11.54
Walen,RCP26,2061,12.23
Walen,RCP26,2062,11.79
Walen,RCP26,2063,11.65
Walen,RCP26,2064,12.0
Walen,RCP26,2065,12.49
Walen,RCP26,2066,11.79
Walen,RCP26,2067,11.96
Walen,RCP26,2068,11.97
Walen,RCP26,2069,11.61
Walen,RCP26,2070,11.71
Walen,RCP26,2071,11.97
Walen,RCP26,2072,11.8
Walen,RCP26,2073,12.63
Walen,RCP26,2074,12.43
Walen,RCP26,2075,11.54
Walen,RCP26,2076,11.76
Walen,RCP26,2077,12.17
Walen,RCP26,2078,12.24
Walen,RCP26,2079,12.38
Walen,RCP26,2080,11.92
Walen,RCP26,2081,12.51
Walen,RCP26,2082,12.89
Walen,RCP26,2083,12.49
Walen,RCP26,2084,12.69
Walen,RCP26,2085,12.29
Walen,RCP26,2086,11.67
Walen,RCP26,2087,11.82
Walen,RCP26,2088,12.28
Walen,RCP26,2089,11.39
Walen,RCP26,2090,12.43
Walen,RCP26,2091,11.9
Walen,RCP26,2092,11.82
Walen,RCP26,2093,11.6
Walen,RCP26,2094,12.02
Walen,RCP26,2095,11.95
Walen,RCP26,2096,11.85
Walen,RCP26,2097,11.87
Walen,RCP26,2098,11.79
Walen,RCP26,2099,12.47
Walen,RCP45,1981,9.86
Walen,RCP45,1982,10.48
Walen,RCP45,1983,10.5
Walen,RCP45,1984,10.24
Walen,RCP45,1985,10.61
Walen,RCP45,1986,11.14
Walen,RCP45,1987,10.41
Walen,RCP45,1988,10.62
Walen,RCP45,1989,10.8
Walen,RCP45,1990,10.68
Walen,RCP45,1991,10.45
Walen,RCP45,1992,11.27
Walen,RCP45,1993,11.17
Walen,RCP45,1994,10.25
Walen,RCP45,1995,11.02
Walen,RCP45,1996,10.6
Walen,RCP45,1997,11.38
Walen,RCP45,1998,11.08
Walen,RCP45,1999,10.82
