"See,""Latitude"",""Longitude"""
"Biel,""47.1400"",""7.2500"""
"Brienz,""46.7500"",""8.0333"""
"Geneva,""46.2044"",""6.1432"""
"Greifen,""47.3667"",""8.6167"""
"Joux,""46.6186"",""6.2675"""
"Klontaler,""47.0300"",""9.0100"""
"LacdelHongrin,""46.4000"",""7.0500"""
"LakeDavos,""46.8000"",""9.8333"""
"Lower-Constance,""47.6500"",""9.1833"""
"Lower-Lugano,""45.9833"",""8.9667"""
"Lower-Zurich,""47.2500"",""8.6833"""
"Lucerne-Alpnacher,""46.9500"",""8.3000"""
"Lucerne-Gersauer,""47.0000"",""8.5000"""
"Lucerne-Kreuztrichter,""47.0333"",""8.5333"""
"Lucerne-Urnersee,""46.9500"",""8.6000"""
"Maggiore,""46.1400"",""8.7400"""
"Murten,""46.9300"",""7.1300"""
"Neuchatel,""46.9800"",""6.9300"""
"Oeschinensee,""46.5000"",""7.7300"""
"Pfaffikon,""47.3667"",""8.8000"""
"Poschiavo,""46.3256"",""10.0556"""
"Rot,""47.0500"",""8.3000"""
"Sils,""46.4333"",""9.7667"""
"Silvaplana,""46.4667"",""9.8000"""
"StMoritz,""46.4908"",""9.8355"""
"Upper-Constance,""47.6500"",""9.1833"""
"Upper-Lugano,""45.9833"",""8.9667"""
"Upper-Zurich,""47.3667"",""8.6167"""
"Walen,""47.1333"",""9.2167"""
